Wk,Date,Rk,School,Prev,Chng,Conf
14,Final,1,Clemson (13-0),1,,ACC (Atlantic)
14,Final,2,Alabama (12-1),2,,SEC (West)
14,Final,3,Michigan State (12-1),5,2,Big Ten (East)
14,Final,4,Oklahoma (11-1),3,1,Big 12
14,Final,5,Iowa (12-1),4,1,Big Ten (West)
14,Final,6,Stanford (11-2),7,1,Pac-12 (North)
14,Final,7,Ohio State (11-1),6,1,Big Ten (East)
14,Final,8,Notre Dame (10-2),8,,Ind
14,Final,9,Florida State (10-2),9,,ACC (Atlantic)
14,Final,10,North Carolina (11-2),10,,ACC (Coastal)
14,Final,11,Texas Christian (10-2),11,,Big 12
14,Final,12,Ole Miss (9-3),13,1,SEC (West)
14,Final,13,Northwestern (10-2),14,1,Big Ten (West)
14,Final,14,Michigan (9-3),15,1,Big Ten (East)
14,Final,15,Oregon (9-3),16,1,Pac-12 (North)
14,Final,16,Oklahoma State (10-2),17,1,Big 12
14,Final,17,Baylor (9-3),12,5,Big 12
14,Final,18,Houston (12-1),19,1,American (West)
14,Final,19,Florida (10-3),18,1,SEC (East)
14,Final,20,LSU (8-3),21,1,SEC (West)
14,Final,21,Navy (9-2),23,2,American (West)
14,Final,22,Utah (9-3),24,2,Pac-12 (South)
14,Final,23,Tennessee (8-4),25,2,SEC (East)
14,Final,24,Temple (10-3),22,2,American (East)
14,Final,25,USC (8-5),20,5,Pac-12 (South)
13,2015-12-01,1,Clemson (12-0),1,,ACC (Atlantic)
13,2015-12-01,2,Alabama (11-1),2,,SEC (West)
13,2015-12-01,3,Oklahoma (11-1),3,,Big 12
13,2015-12-01,4,Iowa (12-0),4,,Big Ten (West)
13,2015-12-01,5,Michigan State (11-1),5,,Big Ten (East)
13,2015-12-01,6,Ohio State (11-1),8,2,Big Ten (East)
13,2015-12-01,7,Stanford (10-2),9,2,Pac-12 (North)
13,2015-12-01,8,Notre Dame (10-2),6,2,Ind
13,2015-12-01,9,Florida State (10-2),13,4,ACC (Atlantic)
13,2015-12-01,10,North Carolina (11-1),14,4,ACC (Coastal)
13,2015-12-01,11,Texas Christian (10-2),19,8,Big 12
13,2015-12-01,12,Baylor (9-2),7,5,Big 12
13,2015-12-01,13,Ole Miss (9-3),18,5,SEC (West)
13,2015-12-01,14,Northwestern (10-2),16,2,Big Ten (West)
13,2015-12-01,15,Michigan (9-3),10,5,Big Ten (East)
13,2015-12-01,16,Oregon (9-3),17,1,Pac-12 (North)
13,2015-12-01,17,Oklahoma State (10-2),11,6,Big 12
13,2015-12-01,18,Florida (10-2),12,6,SEC (East)
13,2015-12-01,19,Houston (11-1),,,American (West)
13,2015-12-01,20,USC (8-4),,,Pac-12 (South)
13,2015-12-01,21,LSU (8-3),,,SEC (West)
13,2015-12-01,22,Temple (10-2),25,3,American (East)
13,2015-12-01,23,Navy (9-2),15,8,American (West)
13,2015-12-01,24,Utah (9-3),23,1,Pac-12 (South)
13,2015-12-01,25,Tennessee (8-4),,,SEC (East)
12,2015-11-24,1,Clemson (11-0),1,,ACC (Atlantic)
12,2015-11-24,2,Alabama (10-1),2,,SEC (West)
12,2015-11-24,3,Oklahoma (10-1),7,4,Big 12
12,2015-11-24,4,Iowa (11-0),5,1,Big Ten (West)
12,2015-11-24,5,Michigan State (10-1),9,4,Big Ten (East)
12,2015-11-24,6,Notre Dame (10-1),4,2,Ind
12,2015-11-24,7,Baylor (9-1),10,3,Big 12
12,2015-11-24,8,Ohio State (10-1),3,5,Big Ten (East)
12,2015-11-24,9,Stanford (9-2),11,2,Pac-12 (North)
12,2015-11-24,10,Michigan (9-2),12,2,Big Ten (East)
12,2015-11-24,11,Oklahoma State (10-1),6,5,Big 12
12,2015-11-24,12,Florida (10-1),8,4,SEC (East)
12,2015-11-24,13,Florida State (9-2),14,1,ACC (Atlantic)
12,2015-11-24,14,North Carolina (10-1),17,3,ACC (Coastal)
12,2015-11-24,15,Navy (9-1),16,1,American (West)
12,2015-11-24,16,Northwestern (9-2),20,4,Big Ten (West)
12,2015-11-24,17,Oregon (8-3),23,6,Pac-12 (North)
12,2015-11-24,18,Ole Miss (8-3),22,4,SEC (West)
12,2015-11-24,19,Texas Christian (9-2),18,1,Big 12
12,2015-11-24,20,Washington State (8-3),,,Pac-12 (North)
12,2015-11-24,21,Mississippi State (8-3),,,SEC (West)
12,2015-11-24,22,UCLA (8-3),,,Pac-12 (South)
12,2015-11-24,23,Utah (8-3),13,10,Pac-12 (South)
12,2015-11-24,24,Toledo (9-1),,,MAC (West)
12,2015-11-24,25,Temple (9-2),,,American (East)
11,2015-11-17,1,Clemson (10-0),1,,ACC (Atlantic)
11,2015-11-17,2,Alabama (9-1),2,,SEC (West)
11,2015-11-17,3,Ohio State (10-0),3,,Big Ten (East)
11,2015-11-17,4,Notre Dame (9-1),4,,Ind
11,2015-11-17,5,Iowa (10-0),5,,Big Ten (West)
11,2015-11-17,6,Oklahoma State (10-0),8,2,Big 12
11,2015-11-17,7,Oklahoma (9-1),12,5,Big 12
11,2015-11-17,8,Florida (9-1),11,3,SEC (East)
11,2015-11-17,9,Michigan State (9-1),13,4,Big Ten (East)
11,2015-11-17,10,Baylor (8-1),6,4,Big 12
11,2015-11-17,11,Stanford (8-2),7,4,Pac-12 (North)
11,2015-11-17,12,Michigan (8-2),14,2,Big Ten (East)
11,2015-11-17,13,Utah (8-2),10,3,Pac-12 (South)
11,2015-11-17,14,Florida State (8-2),16,2,ACC (Atlantic)
11,2015-11-17,15,LSU (7-2),9,6,SEC (West)
11,2015-11-17,16,Navy (8-1),20,4,American (West)
11,2015-11-17,17,North Carolina (9-1),23,6,ACC (Coastal)
11,2015-11-17,18,Texas Christian (9-1),15,3,Big 12
11,2015-11-17,19,Houston (10-0),24,5,American (West)
11,2015-11-17,20,Northwestern (8-2),18,2,Big Ten (West)
11,2015-11-17,21,Memphis (8-2),21,,American (West)
11,2015-11-17,22,Ole Miss (7-3),,,SEC (West)
11,2015-11-17,23,Oregon (7-3),,,Pac-12 (North)
11,2015-11-17,24,USC (7-3),,,Pac-12 (South)
11,2015-11-17,25,Wisconsin (8-2),25,,Big Ten (West)
10,2015-11-10,1,Clemson (9-0),1,,ACC (Atlantic)
10,2015-11-10,2,Alabama (8-1),4,2,SEC (West)
10,2015-11-10,3,Ohio State (9-0),3,,Big Ten (East)
10,2015-11-10,4,Notre Dame (8-1),5,1,Ind
10,2015-11-10,5,Iowa (9-0),9,4,Big Ten (West)
10,2015-11-10,6,Baylor (8-0),6,,Big 12
10,2015-11-10,7,Stanford (8-1),11,4,Pac-12 (North)
10,2015-11-10,8,Oklahoma State (9-0),14,6,Big 12
10,2015-11-10,9,LSU (7-1),2,7,SEC (West)
10,2015-11-10,10,Utah (8-1),12,2,Pac-12 (South)
10,2015-11-10,11,Florida (8-1),10,1,SEC (East)
10,2015-11-10,12,Oklahoma (8-1),15,3,Big 12
10,2015-11-10,13,Michigan State (8-1),7,6,Big Ten (East)
10,2015-11-10,14,Michigan (7-2),17,3,Big Ten (East)
10,2015-11-10,15,Texas Christian (8-1),8,7,Big 12
10,2015-11-10,16,Florida State (7-2),16,,ACC (Atlantic)
