Wk,Date,Rk,School,Prev,Chng,Conf
15,Final,1,Clemson (12-1),1,,ACC (Atlantic)
15,Final,2,Oklahoma (12-1),3,1,Big 12
15,Final,3,Georgia (12-1),6,3,SEC (East)
15,Final,4,Alabama (11-1),5,1,SEC (West)
15,Final,5,Ohio State (11-2),8,3,Big Ten (East)
15,Final,6,Wisconsin (12-1),4,2,Big Ten (West)
15,Final,7,Auburn (10-3),2,5,SEC (West)
15,Final,8,USC (11-2),10,2,Pac-12 (South)
15,Final,9,Penn State (10-2),9,,Big Ten (East)
15,Final,10,Miami (FL) (10-2),7,3,ACC (Coastal)
15,Final,11,Washington (10-2),13,2,Pac-12 (North)
15,Final,12,UCF (12-0),14,2,American (East)
15,Final,13,Stanford (9-4),12,1,Pac-12 (North)
15,Final,14,Notre Dame (9-3),15,1,Ind
15,Final,15,Texas Christian (10-3),11,4,Big 12
15,Final,16,Michigan State (9-3),16,,Big Ten (East)
15,Final,17,LSU (9-3),17,,SEC (West)
15,Final,18,Washington State (9-3),18,,Pac-12 (North)
15,Final,19,Oklahoma State (9-3),19,,Big 12
15,Final,20,Memphis (10-2),20,,American (West)
15,Final,21,Northwestern (9-3),21,,Big Ten (West)
15,Final,22,Virginia Tech (9-3),22,,ACC (Coastal)
15,Final,23,Mississippi State (8-4),23,,SEC (West)
15,Final,24,North Carolina State (8-4),24,,ACC (Atlantic)
15,Final,25,Boise State (10-3),,,MWC (Mountain)
14,2017-11-28,1,Clemson (11-1),3,2,ACC (Atlantic)
14,2017-11-28,2,Auburn (10-2),6,4,SEC (West)
14,2017-11-28,3,Oklahoma (11-1),4,1,Big 12
14,2017-11-28,4,Wisconsin (12-0),5,1,Big Ten (West)
14,2017-11-28,5,Alabama (11-1),1,4,SEC (West)
14,2017-11-28,6,Georgia (11-1),7,1,SEC (East)
14,2017-11-28,7,Miami (FL) (10-1),2,5,ACC (Coastal)
14,2017-11-28,8,Ohio State (10-2),9,1,Big Ten (East)
14,2017-11-28,9,Penn State (10-2),10,1,Big Ten (East)
14,2017-11-28,10,USC (10-2),11,1,Pac-12 (South)
14,2017-11-28,11,Texas Christian (10-2),12,1,Big 12
14,2017-11-28,12,Stanford (9-3),21,9,Pac-12 (North)
14,2017-11-28,13,Washington (10-2),17,4,Pac-12 (North)
14,2017-11-28,14,UCF (11-0),15,1,American (East)
14,2017-11-28,15,Notre Dame (9-3),8,7,Ind
14,2017-11-28,16,Michigan State (9-3),16,,Big Ten (East)
14,2017-11-28,17,LSU (9-3),18,1,SEC (West)
14,2017-11-28,18,Washington State (9-3),13,5,Pac-12 (North)
14,2017-11-28,19,Oklahoma State (9-3),19,,Big 12
14,2017-11-28,20,Memphis (10-1),20,,American (West)
14,2017-11-28,21,Northwestern (9-3),22,1,Big Ten (West)
14,2017-11-28,22,Virginia Tech (9-3),25,3,ACC (Coastal)
14,2017-11-28,23,Mississippi State (8-4),14,9,SEC (West)
