Wk,Date,Rk,School,Prev,Chng,Conf
15,Final,1,Georgia (13-0),1,,SEC (East)
15,Final,2,Michigan (13-0),2,,Big Ten (East)
15,Final,3,Texas Christian (12-1),3,,Big 12
15,Final,4,Ohio State (11-1),5,1,Big Ten (East)
15,Final,5,Alabama (10-2),6,1,SEC (West)
15,Final,6,Tennessee (10-2),7,1,SEC (East)
15,Final,7,Clemson (11-2),9,2,ACC (Atlantic)
15,Final,8,Utah (10-3),11,3,Pac-12
15,Final,9,Kansas State (10-3),10,1,Big 12
15,Final,10,USC (11-2),4,6,Pac-12
15,Final,11,Penn State (10-2),8,3,Big Ten (East)
15,Final,12,Washington (10-2),12,,Pac-12
15,Final,13,Florida State (9-3),13,,ACC (Atlantic)
15,Final,14,Oregon State (9-3),15,1,Pac-12
15,Final,15,Oregon (9-3),16,1,Pac-12
15,Final,16,Tulane (11-2),18,2,American
15,Final,17,LSU (9-4),14,3,SEC (West)
15,Final,18,UCLA (9-3),17,1,Pac-12
15,Final,19,South Carolina (8-4),19,,SEC (East)
15,Final,20,Texas (8-4),20,,Big 12
15,Final,21,Notre Dame (8-4),21,,Ind
15,Final,22,Mississippi State (8-4),24,2,SEC (West)
15,Final,23,North Carolina State (8-4),25,2,ACC (Atlantic)
15,Final,24,Troy (11-2),,,Sun Belt (West)
15,Final,25,UTSA (11-2),,,CUSA (West)
14,2022-11-29,1,Georgia (12-0),1,,SEC (East)
14,2022-11-29,2,Michigan (12-0),3,1,Big Ten (East)
14,2022-11-29,3,Texas Christian (12-0),4,1,Big 12
14,2022-11-29,4,USC (11-1),6,2,Pac-12
14,2022-11-29,5,Ohio State (11-1),2,3,Big Ten (East)
14,2022-11-29,6,Alabama (10-2),7,1,SEC (West)
14,2022-11-29,7,Tennessee (10-2),10,3,SEC (East)
14,2022-11-29,8,Penn State (10-2),11,3,Big Ten (East)
14,2022-11-29,9,Clemson (10-2),8,1,ACC (Atlantic)
14,2022-11-29,10,Kansas State (9-3),12,2,Big 12
14,2022-11-29,11,Utah (9-3),14,3,Pac-12
14,2022-11-29,12,Washington (10-2),13,1,Pac-12
14,2022-11-29,13,Florida State (9-3),16,3,ACC (Atlantic)
14,2022-11-29,14,LSU (9-3),5,9,SEC (West)
14,2022-11-29,15,Oregon State (9-3),21,6,Pac-12
14,2022-11-29,16,Oregon (9-3),9,7,Pac-12
14,2022-11-29,17,UCLA (9-3),18,1,Pac-12
14,2022-11-29,18,Tulane (10-2),19,1,American
14,2022-11-29,19,South Carolina (8-4),,,SEC (East)
14,2022-11-29,20,Texas (8-4),23,3,Big 12
14,2022-11-29,21,Notre Dame (8-4),15,6,Ind
14,2022-11-29,22,UCF (9-3),22,,American
14,2022-11-29,23,North Carolina (9-3),17,6,ACC (Coastal)
14,2022-11-29,24,Mississippi State (8-4),,,SEC (West)
14,2022-11-29,25,North Carolina State (8-4),,,ACC (Atlantic)
13,2022-11-22,1,Georgia (11-0),1,,SEC (East)
13,2022-11-22,2,Ohio State (11-0),2,,Big Ten (East)
13,2022-11-22,3,Michigan (11-0),3,,Big Ten (East)
13,2022-11-22,4,Texas Christian (11-0),4,,Big 12
13,2022-11-22,5,LSU (9-2),6,1,SEC (West)
13,2022-11-22,6,USC (10-1),7,1,Pac-12
13,2022-11-22,7,Alabama (9-2),8,1,SEC (West)
13,2022-11-22,8,Clemson (10-1),9,1,ACC (Atlantic)
13,2022-11-22,9,Oregon (9-2),12,3,Pac-12
13,2022-11-22,10,Tennessee (9-2),5,5,SEC (East)
13,2022-11-22,11,Penn State (9-2),11,,Big Ten (East)
13,2022-11-22,12,Kansas State (8-3),15,3,Big 12
13,2022-11-22,13,Washington (9-2),17,4,Pac-12
13,2022-11-22,14,Utah (8-3),10,4,Pac-12
13,2022-11-22,15,Notre Dame (8-3),18,3,Ind
13,2022-11-22,16,Florida State (8-3),19,3,ACC (Atlantic)
13,2022-11-22,17,North Carolina (9-2),13,4,ACC (Coastal)
13,2022-11-22,18,UCLA (8-3),16,2,Pac-12
13,2022-11-22,19,Tulane (9-2),21,2,American
13,2022-11-22,20,Ole Miss (8-3),14,6,SEC (West)
13,2022-11-22,21,Oregon State (8-3),23,2,Pac-12
13,2022-11-22,22,UCF (8-3),20,2,American
13,2022-11-22,23,Texas (7-4),,,Big 12
13,2022-11-22,24,Cincinnati (9-2),25,1,American
13,2022-11-22,25,Louisville (7-4),,,ACC (Atlantic)
12,2022-11-15,1,Georgia (10-0),1,,SEC (East)
12,2022-11-15,2,Ohio State (10-0),2,,Big Ten (East)
12,2022-11-15,3,Michigan (10-0),3,,Big Ten (East)
12,2022-11-15,4,Texas Christian (10-0),4,,Big 12
12,2022-11-15,5,Tennessee (9-1),5,,SEC (East)
12,2022-11-15,6,LSU (8-2),7,1,SEC (West)
12,2022-11-15,7,USC (9-1),8,1,Pac-12
12,2022-11-15,8,Alabama (8-2),9,1,SEC (West)
12,2022-11-15,9,Clemson (9-1),10,1,ACC (Atlantic)
12,2022-11-15,10,Utah (8-2),13,3,Pac-12
12,2022-11-15,11,Penn State (8-2),14,3,Big Ten (East)
12,2022-11-15,12,Oregon (8-2),6,6,Pac-12
12,2022-11-15,13,North Carolina (9-1),15,2,ACC (Coastal)
12,2022-11-15,14,Ole Miss (8-2),11,3,SEC (West)
12,2022-11-15,15,Kansas State (7-3),19,4,Big 12
12,2022-11-15,16,UCLA (8-2),12,4,Pac-12
12,2022-11-15,17,Washington (8-2),25,8,Pac-12
12,2022-11-15,18,Notre Dame (7-3),20,2,Ind
12,2022-11-15,19,Florida State (7-3),23,4,ACC (Atlantic)
12,2022-11-15,20,UCF (8-2),22,2,American
12,2022-11-15,21,Tulane (8-2),17,4,American
12,2022-11-15,22,Oklahoma State (7-3),,,Big 12
12,2022-11-15,23,Oregon State (7-3),,,Pac-12
12,2022-11-15,24,North Carolina State (7-3),16,8,ACC (Atlantic)
12,2022-11-15,25,Cincinnati (8-2),,,American
11,2022-11-08,1,Georgia (9-0),3,2,SEC (East)
11,2022-11-08,2,Ohio State (9-0),2,,Big Ten (East)
11,2022-11-08,3,Michigan (9-0),5,2,Big Ten (East)
11,2022-11-08,4,Texas Christian (9-0),7,3,Big 12
11,2022-11-08,5,Tennessee (8-1),1,4,SEC (East)
11,2022-11-08,6,Oregon (8-1),8,2,Pac-12
