Wk,Date,Rk,School,Prev,Chng,Conf
15,Final,1,Alabama (13-0),1,,SEC (West)
15,Final,2,Clemson (12-1),3,1,ACC (Atlantic)
15,Final,3,Ohio State (11-1),2,1,Big Ten (East)
15,Final,4,Washington (12-1),4,,Pac-12 (North)
15,Final,5,Penn State (11-2),7,2,Big Ten (East)
15,Final,6,Michigan (10-2),5,1,Big Ten (East)
15,Final,7,Oklahoma (10-2),9,2,Big 12
15,Final,8,Wisconsin (10-3),6,2,Big Ten (West)
15,Final,9,USC (9-3),11,2,Pac-12 (South)
15,Final,10,Colorado (10-3),8,2,Pac-12 (South)
15,Final,11,Florida State (9-3),12,1,ACC (Atlantic)
15,Final,12,Oklahoma State (9-3),10,2,Big 12
15,Final,13,Louisville (9-3),13,,ACC (Atlantic)
15,Final,14,Auburn (8-4),14,,SEC (West)
15,Final,15,Western Michigan (13-0),17,2,MAC (West)
15,Final,16,West Virginia (10-2),16,,Big 12
15,Final,17,Florida (8-4),15,2,SEC (East)
15,Final,18,Stanford (9-3),18,,Pac-12 (North)
15,Final,19,Utah (8-4),20,1,Pac-12 (South)
15,Final,20,LSU (7-4),21,1,SEC (West)
15,Final,21,Tennessee (8-4),22,1,SEC (East)
15,Final,22,Virginia Tech (9-4),23,1,ACC (Coastal)
15,Final,23,Pitt (8-4),25,2,ACC (Coastal)
15,Final,24,Temple (10-3),,,American (East)
15,Final,25,Navy (9-3),19,6,American (West)
14,2016-11-29,1,Alabama (12-0),1,,SEC (West)
14,2016-11-29,2,Ohio State (11-1),2,,Big Ten (East)
14,2016-11-29,3,Clemson (11-1),4,1,ACC (Atlantic)
14,2016-11-29,4,Washington (11-1),5,1,Pac-12 (North)
14,2016-11-29,5,Michigan (10-2),3,2,Big Ten (East)
14,2016-11-29,6,Wisconsin (10-2),6,,Big Ten (West)
14,2016-11-29,7,Penn State (10-2),7,,Big Ten (East)
14,2016-11-29,8,Colorado (10-2),9,1,Pac-12 (South)
14,2016-11-29,9,Oklahoma (9-2),8,1,Big 12
14,2016-11-29,10,Oklahoma State (9-2),10,,Big 12
14,2016-11-29,11,USC (9-3),12,1,Pac-12 (South)
14,2016-11-29,12,Florida State (9-3),14,2,ACC (Atlantic)
14,2016-11-29,13,Louisville (9-3),11,2,ACC (Atlantic)
14,2016-11-29,14,Auburn (8-4),13,1,SEC (West)
