Wk,Date,Rk,School,Prev,Chng,Conf
15,Final,1,Michigan (13-0),2,1,Big Ten (East)
15,Final,2,Washington (13-0),3,1,Pac-12
15,Final,3,Texas (12-1),7,4,Big 12
15,Final,4,Alabama (12-1),8,4,SEC (West)
15,Final,5,Florida State (13-0),4,1,ACC
15,Final,6,Georgia (12-1),1,4,SEC (East)
15,Final,7,Ohio State (11-1),6,1,Big Ten (East)
15,Final,8,Oregon (11-2),5,3,Pac-12
15,Final,9,Missouri (10-2),9,,SEC (East)
15,Final,10,Penn State (10-2),10,,Big Ten (East)
15,Final,11,Ole Miss (10-2),11,,SEC (West)
15,Final,12,Oklahoma (10-2),12,,Big 12
15,Final,13,LSU (9-3),13,,SEC (West)
15,Final,14,Arizona (9-3),15,1,Pac-12
15,Final,15,Louisville (10-3),14,1,ACC
15,Final,16,Notre Dame (9-3),17,1,Ind
15,Final,17,Iowa (10-3),16,1,Big Ten (West)
15,Final,18,North Carolina State (9-3),19,1,ACC
15,Final,19,Oregon State (8-4),20,1,Pac-12
15,Final,20,Oklahoma State (9-4),18,2,Big 12
15,Final,21,Tennessee (8-4),21,,SEC (East)
15,Final,22,Clemson (8-4),23,1,ACC
15,Final,23,Liberty (13-0),24,1,CUSA
15,Final,24,SMU (11-2),,,American
15,Final,25,Kansas State (8-4),25,,Big 12
14,2023-11-28,1,Georgia (12-0),1,,SEC (East)
14,2023-11-28,2,Michigan (12-0),3,1,Big Ten (East)
14,2023-11-28,3,Washington (12-0),4,1,Pac-12
14,2023-11-28,4,Florida State (12-0),5,1,ACC
14,2023-11-28,5,Oregon (11-1),6,1,Pac-12
14,2023-11-28,6,Ohio State (11-1),2,4,Big Ten (East)
14,2023-11-28,7,Texas (11-1),7,,Big 12
14,2023-11-28,8,Alabama (11-1),8,,SEC (West)
14,2023-11-28,9,Missouri (10-2),9,,SEC (East)
14,2023-11-28,10,Penn State (10-2),11,1,Big Ten (East)
14,2023-11-28,11,Ole Miss (10-2),12,1,SEC (West)
14,2023-11-28,12,Oklahoma (10-2),13,1,Big 12
14,2023-11-28,13,LSU (9-3),14,1,SEC (West)
14,2023-11-28,14,Louisville (10-2),10,4,ACC
14,2023-11-28,15,Arizona (9-3),15,,Pac-12
14,2023-11-28,16,Iowa (10-2),17,1,Big Ten (West)
14,2023-11-28,17,Notre Dame (9-3),18,1,Ind
14,2023-11-28,18,Oklahoma State (9-3),20,2,Big 12
14,2023-11-28,19,North Carolina State (9-3),22,3,ACC
14,2023-11-28,20,Oregon State (8-4),16,4,Pac-12
14,2023-11-28,21,Tennessee (8-4),21,,SEC (East)
14,2023-11-28,22,Tulane (11-1),23,1,American
14,2023-11-28,23,Clemson (8-4),24,1,ACC
14,2023-11-28,24,Liberty (12-0),25,1,CUSA
14,2023-11-28,25,Kansas State (8-4),19,6,Big 12
13,2023-11-21,1,Georgia (11-0),1,,SEC (East)
13,2023-11-21,2,Ohio State (11-0),2,,Big Ten (East)
13,2023-11-21,3,Michigan (11-0),3,,Big Ten (East)
13,2023-11-21,4,Washington (11-0),5,1,Pac-12
13,2023-11-21,5,Florida State (11-0),4,1,ACC
13,2023-11-21,6,Oregon (10-1),6,,Pac-12
13,2023-11-21,7,Texas (10-1),7,,Big 12
13,2023-11-21,8,Alabama (10-1),8,,SEC (West)
13,2023-11-21,9,Missouri (9-2),9,,SEC (East)
13,2023-11-21,10,Louisville (10-1),10,,ACC
