Wk,Date,Rk,School,Prev,Chng,Conf
16,Final,1,LSU (13-0),2,1,SEC (West)
16,Final,2,Ohio State (13-0),1,1,Big Ten (East)
16,Final,3,Clemson (13-0),3,,ACC (Atlantic)
16,Final,4,Oklahoma (12-1),6,2,Big 12
16,Final,5,Georgia (11-2),4,1,SEC (East)
16,Final,6,Oregon (11-2),13,7,Pac-12 (North)
16,Final,7,Baylor (11-2),7,,Big 12
16,Final,8,Wisconsin (10-3),8,,Big Ten (West)
16,Final,9,Florida (10-2),9,,SEC (East)
16,Final,10,Penn State (10-2),10,,Big Ten (East)
16,Final,11,Utah (11-2),5,6,Pac-12 (South)
16,Final,12,Auburn (9-3),11,1,SEC (West)
16,Final,13,Alabama (10-2),12,1,SEC (West)
16,Final,14,Michigan (9-3),14,,Big Ten (East)
16,Final,15,Notre Dame (10-2),15,,Ind
16,Final,16,Iowa (9-3),16,,Big Ten (West)
16,Final,17,Memphis (12-1),17,,American (West)
16,Final,18,Minnesota (10-2),18,,Big Ten (West)
16,Final,19,Boise State (12-1),19,,MWC (Mountain)
16,Final,20,Appalachian State (12-1),21,1,Sun Belt (East)
16,Final,21,Cincinnati (10-3),20,1,American (East)
16,Final,22,USC (8-4),22,,Pac-12 (South)
16,Final,23,Navy (9-2),24,1,American (West)
16,Final,24,Virginia (9-4),23,1,ACC (Coastal)
16,Final,25,Oklahoma State (8-4),25,,Big 12
15,2019-12-03,1,Ohio State (12-0),1,,Big Ten (East)
15,2019-12-03,2,LSU (12-0),2,,SEC (West)
15,2019-12-03,3,Clemson (12-0),3,,ACC (Atlantic)
15,2019-12-03,4,Georgia (11-1),4,,SEC (East)
15,2019-12-03,5,Utah (11-1),6,1,Pac-12 (South)
15,2019-12-03,6,Oklahoma (11-1),7,1,Big 12
15,2019-12-03,7,Baylor (11-1),9,2,Big 12
15,2019-12-03,8,Wisconsin (10-2),12,4,Big Ten (West)
15,2019-12-03,9,Florida (10-2),11,2,SEC (East)
15,2019-12-03,10,Penn State (10-2),10,,Big Ten (East)
15,2019-12-03,11,Auburn (9-3),15,4,SEC (West)
15,2019-12-03,12,Alabama (10-2),5,7,SEC (West)
15,2019-12-03,13,Oregon (10-2),14,1,Pac-12 (North)
15,2019-12-03,14,Michigan (9-3),13,1,Big Ten (East)
15,2019-12-03,15,Notre Dame (10-2),16,1,Ind
15,2019-12-03,16,Iowa (9-3),17,1,Big Ten (West)
15,2019-12-03,17,Memphis (11-1),18,1,American (West)
15,2019-12-03,18,Minnesota (10-2),8,10,Big Ten (West)
15,2019-12-03,19,Boise State (11-1),20,1,MWC (Mountain)
15,2019-12-03,20,Cincinnati (10-2),19,1,American (East)
