Wk,Date,Rk,School,Prev,Chng,Conf
15,Final,1,Alabama (12-1),3,2,SEC (West)
15,Final,2,Michigan (12-1),2,,Big Ten (East)
15,Final,3,Georgia (12-1),1,2,SEC (East)
15,Final,4,Cincinnati (13-0),4,,American
15,Final,5,Notre Dame (11-1),6,1,Ind
15,Final,6,Ohio State (10-2),7,1,Big Ten (East)
15,Final,7,Baylor (11-2),9,2,Big 12
15,Final,8,Ole Miss (10-2),8,,SEC (West)
15,Final,9,Oklahoma State (11-2),5,4,Big 12
15,Final,10,Michigan State (10-2),11,1,Big Ten (East)
15,Final,11,Utah (10-3),17,6,Pac-12 (South)
15,Final,12,Pitt (11-2),15,3,ACC (Coastal)
15,Final,13,BYU (10-2),12,1,Ind
15,Final,14,Oregon (10-3),10,4,Pac-12 (North)
15,Final,15,Iowa (10-3),13,2,Big Ten (West)
15,Final,16,Oklahoma (10-2),14,2,Big 12
15,Final,17,Wake Forest (10-3),16,1,ACC (Atlantic)
15,Final,18,North Carolina State (9-3),18,,ACC (Atlantic)
15,Final,19,Clemson (9-3),20,1,ACC (Atlantic)
15,Final,20,Houston (11-2),21,1,American
15,Final,21,Arkansas (8-4),22,1,SEC (West)
15,Final,22,Kentucky (9-3),23,1,SEC (East)
15,Final,23,Louisiana (12-1),,,Sun Belt (West)
15,Final,24,San Diego State (11-2),19,5,MWC (West)
15,Final,25,Texas A&M (8-4),25,,SEC (West)
14,2021-11-30,1,Georgia (12-0),1,,SEC (East)
14,2021-11-30,2,Michigan (11-1),5,3,Big Ten (East)
14,2021-11-30,3,Alabama (11-1),3,,SEC (West)
14,2021-11-30,4,Cincinnati (12-0),4,,American
14,2021-11-30,5,Oklahoma State (11-1),7,2,Big 12
14,2021-11-30,6,Notre Dame (11-1),6,,Ind
14,2021-11-30,7,Ohio State (10-2),2,5,Big Ten (East)
14,2021-11-30,8,Ole Miss (10-2),9,1,SEC (West)
14,2021-11-30,9,Baylor (10-2),8,1,Big 12
14,2021-11-30,10,Oregon (10-2),11,1,Pac-12 (North)
14,2021-11-30,11,Michigan State (10-2),12,1,Big Ten (East)
14,2021-11-30,12,BYU (10-2),13,1,Ind
14,2021-11-30,13,Iowa (10-2),16,3,Big Ten (West)
14,2021-11-30,14,Oklahoma (10-2),10,4,Big 12
14,2021-11-30,15,Pitt (10-2),17,2,ACC (Coastal)
14,2021-11-30,16,Wake Forest (10-2),18,2,ACC (Atlantic)
14,2021-11-30,17,Utah (9-3),19,2,Pac-12 (South)
14,2021-11-30,18,North Carolina State (9-3),20,2,ACC (Atlantic)
14,2021-11-30,19,San Diego State (11-1),21,2,MWC (West)
14,2021-11-30,20,Clemson (9-3),23,3,ACC (Atlantic)
14,2021-11-30,21,Houston (11-1),24,3,American
14,2021-11-30,22,Arkansas (8-4),25,3,SEC (West)
14,2021-11-30,23,Kentucky (9-3),,,SEC (East)
14,2021-11-30,25,Texas A&M (8-4),15,10,SEC (West)
13,2021-11-23,1,Georgia (11-0),1,,SEC (East)
13,2021-11-23,2,Ohio State (10-1),4,2,Big Ten (East)
13,2021-11-23,3,Alabama (10-1),2,1,SEC (West)
13,2021-11-23,4,Cincinnati (11-0),5,1,American
13,2021-11-23,5,Michigan (10-1),6,1,Big Ten (East)
13,2021-11-23,6,Notre Dame (10-1),8,2,Ind
13,2021-11-23,7,Oklahoma State (10-1),9,2,Big 12
13,2021-11-23,8,Baylor (9-2),11,3,Big 12
13,2021-11-23,9,Ole Miss (9-2),12,3,SEC (West)
13,2021-11-23,10,Oklahoma (10-1),13,3,Big 12
13,2021-11-23,11,Oregon (9-2),3,8,Pac-12 (North)
13,2021-11-23,12,Michigan State (9-2),7,5,Big Ten (East)
13,2021-11-23,13,BYU (9-2),14,1,Ind
13,2021-11-23,14,Wisconsin (8-3),15,1,Big Ten (West)
13,2021-11-23,15,Texas A&M (8-3),16,1,SEC (West)
13,2021-11-23,16,Iowa (9-2),17,1,Big Ten (West)
13,2021-11-23,17,Pitt (9-2),18,1,ACC (Coastal)
13,2021-11-23,18,Wake Forest (9-2),10,8,ACC (Atlantic)
13,2021-11-23,19,Utah (8-3),23,4,Pac-12 (South)
13,2021-11-23,20,North Carolina State (8-3),20,,ACC (Atlantic)
13,2021-11-23,21,San Diego State (10-1),19,2,MWC (West)
13,2021-11-23,22,UTSA (11-0),22,,CUSA (West)
13,2021-11-23,23,Clemson (8-3),,,ACC (Atlantic)
13,2021-11-23,24,Houston (10-1),24,,American
13,2021-11-23,25,Arkansas (7-4),21,4,SEC (West)
12,2021-11-16,1,Georgia (10-0),1,,SEC (East)
12,2021-11-16,2,Alabama (9-1),2,,SEC (West)
12,2021-11-16,3,Oregon (9-1),3,,Pac-12 (North)
12,2021-11-16,4,Ohio State (9-1),4,,Big Ten (East)
12,2021-11-16,5,Cincinnati (10-0),5,,American
12,2021-11-16,6,Michigan (9-1),6,,Big Ten (East)
12,2021-11-16,7,Michigan State (9-1),7,,Big Ten (East)
12,2021-11-16,8,Notre Dame (9-1),9,1,Ind
12,2021-11-16,9,Oklahoma State (9-1),10,1,Big 12
12,2021-11-16,10,Wake Forest (9-1),12,2,ACC (Atlantic)
12,2021-11-16,11,Baylor (8-2),13,2,Big 12
12,2021-11-16,12,Ole Miss (8-2),15,3,SEC (West)
12,2021-11-16,13,Oklahoma (9-1),8,5,Big 12
12,2021-11-16,14,BYU (8-2),14,,Ind
12,2021-11-16,15,Wisconsin (7-3),18,3,Big Ten (West)
12,2021-11-16,16,Texas A&M (7-3),11,5,SEC (West)
12,2021-11-16,17,Iowa (8-2),20,3,Big Ten (West)
12,2021-11-16,18,Pitt (8-2),21,3,ACC (Coastal)
12,2021-11-16,19,San Diego State (9-1),22,3,MWC (West)
12,2021-11-16,20,North Carolina State (7-3),16,4,ACC (Atlantic)
12,2021-11-16,21,Arkansas (7-3),25,4,SEC (West)
12,2021-11-16,22,UTSA (10-0),23,1,CUSA (West)
12,2021-11-16,23,Utah (7-3),24,1,Pac-12 (South)
12,2021-11-16,24,Houston (9-1),,,American
12,2021-11-16,25,Mississippi State (6-4),,,SEC (West)
11,2021-11-09,1,Georgia (9-0),1,,SEC (East)
11,2021-11-09,2,Alabama (8-1),2,,SEC (West)
11,2021-11-09,3,Oregon (8-1),4,1,Pac-12 (North)
11,2021-11-09,4,Ohio State (8-1),5,1,Big Ten (East)
11,2021-11-09,5,Cincinnati (9-0),6,1,American
11,2021-11-09,6,Michigan (8-1),7,1,Big Ten (East)
11,2021-11-09,7,Michigan State (8-1),3,4,Big Ten (East)
11,2021-11-09,8,Oklahoma (9-0),8,,Big 12
11,2021-11-09,9,Notre Dame (8-1),10,1,Ind
11,2021-11-09,10,Oklahoma State (8-1),11,1,Big 12
11,2021-11-09,11,Texas A&M (7-2),14,3,SEC (West)
11,2021-11-09,12,Wake Forest (8-1),9,3,ACC (Atlantic)
11,2021-11-09,13,Baylor (7-2),12,1,Big 12
11,2021-11-09,14,BYU (8-2),15,1,Ind
11,2021-11-09,15,Ole Miss (7-2),16,1,SEC (West)
11,2021-11-09,16,North Carolina State (7-2),19,3,ACC (Atlantic)
11,2021-11-09,17,Auburn (6-3),13,4,SEC (West)
11,2021-11-09,18,Wisconsin (6-3),21,3,Big Ten (West)
11,2021-11-09,19,Purdue (6-3),,,Big Ten (West)
11,2021-11-09,20,Iowa (7-2),22,2,Big Ten (West)
11,2021-11-09,21,Pitt (7-2),25,4,ACC (Coastal)
11,2021-11-09,22,San Diego State (8-1),24,2,MWC (West)
11,2021-11-09,23,UTSA (9-0),,,CUSA (West)
11,2021-11-09,24,Utah (6-3),,,Pac-12 (South)
11,2021-11-09,25,Arkansas (6-3),,,SEC (West)
10,2021-11-02,1,Georgia (8-0),,,SEC (East)
10,2021-11-02,2,Alabama (7-1),,,SEC (West)
10,2021-11-02,3,Michigan State (8-0),,,Big Ten (East)
10,2021-11-02,4,Oregon (7-1),,,Pac-12 (North)
10,2021-11-02,5,Ohio State (7-1),,,Big Ten (East)
10,2021-11-02,6,Cincinnati (8-0),,,American
10,2021-11-02,7,Michigan (7-1),,,Big Ten (East)
10,2021-11-02,8,Oklahoma (9-0),,,Big 12
10,2021-11-02,9,Wake Forest (8-0),,,ACC (Atlantic)
10,2021-11-02,10,Notre Dame (7-1),,,Ind
10,2021-11-02,11,Oklahoma State (7-1),,,Big 12
10,2021-11-02,12,Baylor (7-1),,,Big 12
10,2021-11-02,13,Auburn (6-2),,,SEC (West)
10,2021-11-02,14,Texas A&M (6-2),,,SEC (West)
10,2021-11-02,15,BYU (7-2),,,Ind
10,2021-11-02,16,Ole Miss (6-2),,,SEC (West)
10,2021-11-02,17,Mississippi State (5-3),,,SEC (West)
10,2021-11-02,18,Kentucky (6-2),,,SEC (East)
10,2021-11-02,19,North Carolina State (6-2),,,ACC (Atlantic)
10,2021-11-02,20,Minnesota (6-2),,,Big Ten (West)
10,2021-11-02,21,Wisconsin (5-3),,,Big Ten (West)
10,2021-11-02,22,Iowa (6-2),,,Big Ten (West)
10,2021-11-02,23,Fresno State (7-2),,,MWC (West)
10,2021-11-02,24,San Diego State (7-1),,,MWC (West)
10,2021-11-02,25,Pitt (6-2),,,ACC (Coastal)
