Wk,Date,Rk,School,Prev,Chng,Conf
16,Final,1,Alabama (11-0),1,,SEC (West)
16,Final,2,Clemson (10-1),3,1,ACC
16,Final,3,Ohio State (6-0),4,1,Big Ten (East)
16,Final,4,Notre Dame (10-1),2,2,ACC
16,Final,5,Texas A&M (8-1),5,,SEC (West)
16,Final,6,Oklahoma (8-2),10,4,Big 12
16,Final,7,Florida (8-3),7,,SEC (East)
16,Final,8,Cincinnati (9-0),9,1,American
16,Final,9,Georgia (7-2),8,1,SEC (East)
16,Final,10,Iowa State (8-3),6,4,Big 12
16,Final,11,Indiana (6-1),11,,Big Ten (East)
16,Final,12,Coastal Carolina (11-0),12,,Sun Belt (East)
16,Final,13,North Carolina (8-3),15,2,ACC
16,Final,14,Northwestern (6-2),14,,Big Ten (West)
16,Final,15,Iowa (6-2),16,1,Big Ten (West)
16,Final,16,BYU (10-1),17,1,Ind
16,Final,17,USC (5-1),13,4,Pac-12 (South)
16,Final,18,Miami (FL) (8-2),18,,ACC
16,Final,19,Louisiana (9-1),19,,Sun Belt (West)
16,Final,20,Texas (6-3),20,,Big 12
16,Final,21,Oklahoma State (7-3),21,,Big 12
16,Final,22,San Jose State (7-0),24,2,MWC (West)
16,Final,23,North Carolina State (8-3),22,1,ACC
16,Final,24,Tulsa (6-2),23,1,American
16,Final,25,Oregon (4-2),,,Pac-12 (North)
15,2020-12-15,1,Alabama (10-0),1,,SEC (West)
15,2020-12-15,2,Notre Dame (10-0),2,,ACC
15,2020-12-15,3,Clemson (9-1),3,,ACC
15,2020-12-15,4,Ohio State (5-0),4,,Big Ten (East)
15,2020-12-15,5,Texas A&M (7-1),5,,SEC (West)
15,2020-12-15,6,Iowa State (8-2),7,1,Big 12
15,2020-12-15,7,Florida (8-2),6,1,SEC (East)
15,2020-12-15,8,Georgia (7-2),9,1,SEC (East)
15,2020-12-15,9,Cincinnati (8-0),8,1,American
15,2020-12-15,10,Oklahoma (7-2),11,1,Big 12
15,2020-12-15,11,Indiana (6-1),12,1,Big Ten (East)
15,2020-12-15,12,Coastal Carolina (11-0),13,1,Sun Belt (East)
