Wk,Date,Rk,School,Prev,Chng,Conf
8,Final,1,Ohio State (11-1),3,2,Big Ten
8,Final,2,LSU (11-2),7,5,SEC (West)
8,Final,3,Virginia Tech (11-2),6,3,ACC (Coastal)
8,Final,4,Oklahoma (11-2),9,5,Big 12 (South)
8,Final,5,Georgia (10-2),4,1,SEC (East)
8,Final,6,Missouri (11-2),1,5,Big 12 (North)
8,Final,7,USC (10-2),8,1,Pac-10
8,Final,8,Kansas (11-1),5,3,Big 12 (North)
8,Final,9,West Virginia (10-2),2,7,Big East
8,Final,10,Hawaii (12-0),12,2,WAC
8,Final,11,Arizona State (10-2),13,2,Pac-10
8,Final,12,Florida (9-3),10,2,SEC (East)
8,Final,13,Illinois (9-3),15,2,Big Ten
8,Final,14,Boston College (10-3),11,3,ACC (Atlantic)
8,Final,15,Clemson (9-3),16,1,ACC (Atlantic)
8,Final,16,Tennessee (9-4),14,2,SEC (East)
8,Final,17,BYU (10-2),19,2,MWC
8,Final,18,Wisconsin (9-3),18,,Big Ten
8,Final,19,Texas (9-3),20,1,Big 12 (South)
8,Final,20,Virginia (9-3),22,2,ACC (Coastal)
8,Final,21,South Florida (9-3),21,,Big East
8,Final,22,Cincinnati (9-3),23,1,Big East
8,Final,23,Auburn (8-4),24,1,SEC (West)
8,Final,24,Boise State (10-2),25,1,WAC
8,Final,25,Connecticut (9-3),,,Big East
7,2007-11-25,1,Missouri (11-1),4,3,Big 12 (North)
7,2007-11-25,2,West Virginia (10-1),3,1,Big East
7,2007-11-25,3,Ohio State (11-1),5,2,Big Ten
7,2007-11-25,4,Georgia (10-2),7,3,SEC (East)
7,2007-11-25,5,Kansas (11-1),2,3,Big 12 (North)
7,2007-11-25,6,Virginia Tech (10-2),8,2,ACC (Coastal)
7,2007-11-25,7,LSU (10-2),1,6,SEC (West)
7,2007-11-25,8,USC (9-2),11,3,Pac-10
7,2007-11-25,9,Oklahoma (10-2),10,1,Big 12 (South)
7,2007-11-25,10,Florida (9-3),12,2,SEC (East)
7,2007-11-25,11,Boston College (10-2),14,3,ACC (Atlantic)
7,2007-11-25,12,Hawaii (11-0),15,3,WAC
7,2007-11-25,13,Arizona State (9-2),6,7,Pac-10
7,2007-11-25,14,Tennessee (9-3),18,4,SEC (East)
7,2007-11-25,15,Illinois (9-3),17,2,Big Ten
7,2007-11-25,16,Clemson (9-3),22,6,ACC (Atlantic)
7,2007-11-25,17,Oregon (8-3),9,8,Pac-10
7,2007-11-25,18,Wisconsin (9-3),21,3,Big Ten
7,2007-11-25,19,BYU (9-2),25,6,MWC
7,2007-11-25,20,Texas (9-3),13,7,Big 12 (South)
7,2007-11-25,21,South Florida (9-3),23,2,Big East
7,2007-11-25,22,Virginia (9-3),16,6,ACC (Coastal)
7,2007-11-25,23,Cincinnati (9-3),24,1,Big East
7,2007-11-25,24,Auburn (8-4),,,SEC (West)
7,2007-11-25,25,Boise State (10-2),19,6,WAC
6,2007-11-18,1,LSU (10-1),1,,SEC (West)
6,2007-11-18,2,Kansas (11-0),3,1,Big 12 (North)
6,2007-11-18,3,West Virginia (9-1),6,3,Big East
6,2007-11-18,4,Missouri (10-1),5,1,Big 12 (North)
6,2007-11-18,5,Ohio State (11-1),7,2,Big Ten
6,2007-11-18,6,Arizona State (9-1),8,2,Pac-10
6,2007-11-18,7,Georgia (9-2),9,2,SEC (East)
6,2007-11-18,8,Virginia Tech (9-2),10,2,ACC (Coastal)
6,2007-11-18,9,Oregon (8-2),2,7,Pac-10
6,2007-11-18,10,Oklahoma (9-2),4,6,Big 12 (South)
6,2007-11-18,11,USC (8-2),11,,Pac-10
6,2007-11-18,12,Florida (8-3),12,,SEC (East)
6,2007-11-18,13,Texas (9-2),13,,Big 12 (South)
6,2007-11-18,14,Boston College (9-2),17,3,ACC (Atlantic)
6,2007-11-18,15,Hawaii (10-0),16,1,WAC
6,2007-11-18,16,Virginia (9-2),14,2,ACC (Coastal)
6,2007-11-18,17,Illinois (9-3),19,2,Big Ten
6,2007-11-18,18,Tennessee (8-3),20,2,SEC (East)
6,2007-11-18,19,Boise State (10-1),18,1,WAC
6,2007-11-18,20,Connecticut (9-2),24,4,Big East
6,2007-11-18,21,Wisconsin (9-3),25,4,Big Ten
6,2007-11-18,22,Clemson (8-3),15,7,ACC (Atlantic)
6,2007-11-18,23,South Florida (8-3),,,Big East
6,2007-11-18,24,Cincinnati (8-3),22,2,Big East
6,2007-11-18,25,BYU (8-2),,,MWC
5,2007-11-11,1,LSU (9-1),2,1,SEC (West)
5,2007-11-11,2,Oregon (8-1),3,1,Pac-10
5,2007-11-11,3,Kansas (10-0),4,1,Big 12 (North)
5,2007-11-11,4,Oklahoma (9-1),5,1,Big 12 (South)
5,2007-11-11,5,Missouri (9-1),6,1,Big 12 (North)
5,2007-11-11,6,West Virginia (8-1),7,1,Big East
5,2007-11-11,7,Ohio State (10-1),1,6,Big Ten
5,2007-11-11,8,Arizona State (9-1),9,1,Pac-10
5,2007-11-11,9,Georgia (8-2),10,1,SEC (East)
5,2007-11-11,10,Virginia Tech (8-2),11,1,ACC (Coastal)
5,2007-11-11,11,USC (8-2),17,6,Pac-10
