Wk,Date,Rk,School,Prev,Chng,Conf
7,Final,1,Florida State (11-0),1,,ACC
7,Final,2,Virginia Tech (11-0),2,,Big East
7,Final,3,Nebraska (10-1),3,,Big 12 (North)
7,Final,4,Alabama (9-2),7,3,SEC (West)
7,Final,5,Tennessee (9-2),5,,SEC (East)
7,Final,6,Kansas State (10-1),6,,Big 12 (North)
7,Final,7,Wisconsin (9-2),8,1,Big Ten
7,Final,8,Michigan (9-2),9,1,Big Ten
7,Final,9,Michigan State (9-2),10,1,Big Ten
7,Final,10,Florida (9-2),4,6,SEC (East)
7,Final,11,Penn State (9-3),13,2,Big Ten
7,Final,12,Marshall (12-0),12,,MAC (East)
7,Final,13,Minnesota (8-3),14,1,Big Ten
7,Final,14,Texas A&M (8-3),15,1,Big 12 (South)
7,Final,15,Texas (9-3),11,4,Big 12 (South)
6,1999-11-27,1,Florida State (11-0),1,,ACC
6,1999-11-27,2,Virginia Tech (11-0),2,,Big East
6,1999-11-27,3,Nebraska (10-1),3,,Big 12 (North)
6,1999-11-27,4,Florida (9-2),5,1,SEC (East)
6,1999-11-27,5,Tennessee (8-2),4,1,SEC (East)
6,1999-11-27,6,Kansas State (10-1),6,,Big 12 (North)
6,1999-11-27,7,Alabama (9-2),8,1,SEC (West)
6,1999-11-27,8,Wisconsin (9-2),7,1,Big Ten
6,1999-11-27,9,Michigan (9-2),10,1,Big Ten
6,1999-11-27,10,Michigan State (9-2),11,1,Big Ten
6,1999-11-27,11,Texas (9-3),9,2,Big 12 (South)
6,1999-11-27,12,Marshall (11-0),13,1,MAC (East)
6,1999-11-27,13,Penn State (9-3),12,1,Big Ten
6,1999-11-27,14,Minnesota (8-3),14,,Big Ten
6,1999-11-27,15,Texas A&M (8-3),,,Big 12 (South)
5,1999-11-20,1,Florida State (10-0),1,,ACC
5,1999-11-20,2,Virginia Tech (9-0),2,,Big East
5,1999-11-20,3,Nebraska (9-1),3,,Big 12 (North)
5,1999-11-20,4,Tennessee (7-2),5,1,SEC (East)
5,1999-11-20,5,Florida (9-1),4,1,SEC (East)
5,1999-11-20,6,Kansas State (9-1),8,2,Big 12 (North)
5,1999-11-20,7,Wisconsin (9-2),7,,Big Ten
5,1999-11-20,8,Alabama (8-2),6,2,SEC (West)
5,1999-11-20,9,Texas (9-2),9,,Big 12 (South)
5,1999-11-20,10,Michigan (8-2),10,,Big Ten
5,1999-11-20,11,Michigan State (8-2),12,1,Big Ten
5,1999-11-20,12,Penn State (9-2),11,1,Big Ten
5,1999-11-20,13,Marshall (10-0),14,1,MAC (East)
5,1999-11-20,14,Minnesota (7-3),,,Big Ten
5,1999-11-20,15,Southern Mississippi (7-3),,,CUSA
4,1999-11-13,1,Florida State (9-0),1,,ACC
4,1999-11-13,2,Virginia Tech (8-0),3,1,Big East
4,1999-11-13,3,Nebraska (8-1),6,3,Big 12 (North)
4,1999-11-13,4,Florida (8-1),4,,SEC (East)
4,1999-11-13,5,Tennessee (7-1),2,3,SEC (East)
4,1999-11-13,6,Alabama (7-2),9,3,SEC (West)
4,1999-11-13,7,Wisconsin (8-2),8,1,Big Ten
4,1999-11-13,8,Kansas State (9-0),5,3,Big 12 (North)
4,1999-11-13,9,Texas (8-2),11,2,Big 12 (South)
4,1999-11-13,10,Michigan (7-2),12,2,Big Ten
4,1999-11-13,11,Penn State (9-1),7,4,Big Ten
4,1999-11-13,12,Michigan State (7-2),13,1,Big Ten
4,1999-11-13,13,Georgia Tech (6-2),15,2,ACC
4,1999-11-13,14,Marshall (9-0),,,MAC (East)
4,1999-11-13,15,Mississippi State (8-0),10,5,SEC (West)
3,1999-11-06,1,Florida State (9-0),1,,ACC
3,1999-11-06,2,Tennessee (6-1),5,3,SEC (East)
3,1999-11-06,3,Virginia Tech (7-0),3,,Big East
3,1999-11-06,4,Florida (7-1),4,,SEC (East)
3,1999-11-06,5,Kansas State (8-0),6,1,Big 12 (North)
3,1999-11-06,6,Nebraska (7-1),8,2,Big 12 (North)
3,1999-11-06,7,Penn State (9-0),2,5,Big Ten
3,1999-11-06,8,Wisconsin (7-2),10,2,Big Ten
3,1999-11-06,9,Alabama (6-2),9,,SEC (West)
3,1999-11-06,10,Mississippi State (8-0),12,2,SEC (West)
3,1999-11-06,11,Texas (7-2),11,,Big 12 (South)
3,1999-11-06,12,Michigan (6-2),13,1,Big Ten
3,1999-11-06,13,Michigan State (6-2),,,Big Ten
3,1999-11-06,14,BYU (7-1),15,1,MWC
3,1999-11-06,15,Georgia Tech (6-1),7,8,ACC
2,1999-10-30,1,Florida State (8-0),1,,ACC
2,1999-10-30,2,Penn State (8-0),2,,Big Ten
2,1999-10-30,3,Virginia Tech (6-0),3,,Big East
2,1999-10-30,4,Florida (6-1),6,2,SEC (East)
2,1999-10-30,5,Tennessee (5-1),4,1,SEC (East)
2,1999-10-30,6,Kansas State (7-0),5,1,Big 12 (North)
2,1999-10-30,7,Georgia Tech (5-1),8,1,ACC
2,1999-10-30,8,Nebraska (6-1),7,1,Big 12 (North)
2,1999-10-30,9,Alabama (5-2),13,4,SEC (West)
2,1999-10-30,10,Wisconsin (6-2),9,1,Big Ten
2,1999-10-30,11,Texas (6-2),10,1,Big 12 (South)
2,1999-10-30,12,Mississippi State (7-0),11,1,SEC (West)
2,1999-10-30,13,Michigan (5-2),12,1,Big Ten
2,1999-10-30,14,Marshall (7-0),14,,MAC (East)
2,1999-10-30,15,BYU (6-1),,,MWC
1,1999-10-23,1,Florida State (7-0),NA,—,ACC
1,1999-10-23,2,Penn State (7-0),NA,—,Big Ten
1,1999-10-23,3,Virginia Tech (6-0),NA,—,Big East
1,1999-10-23,4,Tennessee (4-1),NA,—,SEC (East)
1,1999-10-23,5,Kansas State (6-0),NA,—,Big 12 (North)
1,1999-10-23,6,Florida (6-1),NA,—,SEC (East)
1,1999-10-23,7,Nebraska (6-0),NA,—,Big 12 (North)
1,1999-10-23,8,Georgia Tech (5-1),NA,—,ACC
