Wk,Date,Rk,School,Prev,Chng,Conf
8,Final,1,USC (12-0),1,,Pac-10
8,Final,2,Texas (12-0),2,,Big 12 (South)
8,Final,3,Penn State (10-1),3,,Big Ten
8,Final,4,Ohio State (9-2),6,2,Big Ten
8,Final,5,Oregon (10-1),7,2,Pac-10
8,Final,6,Notre Dame (9-2),8,2,Ind
8,Final,7,Georgia (10-2),13,6,SEC (East)
8,Final,8,Miami (FL) (9-2),9,1,ACC (Coastal)
8,Final,9,Auburn (9-2),10,1,SEC (West)
8,Final,10,Virginia Tech (10-2),5,5,ACC (Coastal)
8,Final,11,West Virginia (10-1),11,,Big East
8,Final,12,LSU (10-2),4,8,SEC (West)
8,Final,13,Alabama (9-2),15,2,SEC (West)
8,Final,14,Texas Christian (10-1),14,,MWC
8,Final,15,Texas Tech (9-2),16,1,Big 12 (South)
8,Final,16,UCLA (9-2),12,4,Pac-10
8,Final,17,Florida (8-3),17,,SEC (East)
8,Final,18,Wisconsin (9-3),18,,Big Ten
8,Final,19,Louisville (9-2),21,2,Big East
8,Final,20,Michigan (7-4),19,1,Big Ten
8,Final,21,Boston College (8-3),20,1,ACC (Atlantic)
8,Final,22,Florida State (8-4),,,ACC (Atlantic)
8,Final,23,Oklahoma (7-4),23,,Big 12 (South)
8,Final,24,Georgia Tech (7-4),24,,ACC (Coastal)
8,Final,25,Northwestern (7-4),22,3,Big Ten
7,2005-11-28,1,USC (11-0),1,,Pac-10
7,2005-11-28,2,Texas (11-0),2,,Big 12 (South)
7,2005-11-28,3,Penn State (10-1),3,,Big Ten
7,2005-11-28,4,LSU (10-1),4,,SEC (West)
7,2005-11-28,5,Virginia Tech (10-1),5,,ACC (Coastal)
7,2005-11-28,6,Ohio State (9-2),6,,Big Ten
7,2005-11-28,7,Oregon (10-1),7,,Pac-10
7,2005-11-28,8,Notre Dame (9-2),8,,Ind
7,2005-11-28,9,Miami (FL) (9-2),9,,ACC (Coastal)
7,2005-11-28,10,Auburn (9-2),10,,SEC (West)
7,2005-11-28,11,West Virginia (9-1),11,,Big East
7,2005-11-28,12,UCLA (9-1),12,,Pac-10
7,2005-11-28,13,Georgia (9-2),15,2,SEC (East)
7,2005-11-28,14,Texas Christian (10-1),13,1,MWC
7,2005-11-28,15,Alabama (9-2),14,1,SEC (West)
7,2005-11-28,16,Texas Tech (9-2),16,,Big 12 (South)
7,2005-11-28,17,Florida (8-3),23,6,SEC (East)
7,2005-11-28,18,Wisconsin (9-3),17,1,Big Ten
7,2005-11-28,19,Michigan (7-4),22,3,Big Ten
7,2005-11-28,20,Boston College (8-3),18,2,ACC (Atlantic)
7,2005-11-28,21,Louisville (8-2),20,1,Big East
7,2005-11-28,22,Northwestern (7-4),25,3,Big Ten
7,2005-11-28,23,Oklahoma (7-4),,,Big 12 (South)
7,2005-11-28,24,Georgia Tech (7-4),21,3,ACC (Coastal)
7,2005-11-28,25,Fresno State (8-3),19,6,WAC
6,2005-11-21,1,USC (11-0),1,,Pac-10
6,2005-11-21,2,Texas (10-0),2,,Big 12 (South)
