Wk,Date,Rk,School,Prev,Chng,Conf
8,Final,1,LSU (13-0),1,,SEC (West)
8,Final,2,Alabama (11-1),2,,SEC (West)
8,Final,3,Oklahoma State (11-1),3,,Big 12
8,Final,4,Stanford (11-1),4,,Pac-12 (North)
8,Final,5,Oregon (11-2),9,4,Pac-12 (North)
8,Final,6,Arkansas (10-2),8,2,SEC (West)
8,Final,7,Boise State (11-1),7,,MWC
8,Final,8,Kansas State (10-2),11,3,Big 12
8,Final,9,South Carolina (10-2),12,3,SEC (East)
8,Final,10,Wisconsin (11-2),15,5,Big Ten (Leaders)
8,Final,11,Virginia Tech (11-2),5,6,ACC (Coastal)
8,Final,12,Baylor (9-3),17,5,Big 12
8,Final,13,Michigan (10-2),16,3,Big Ten (Legends)
8,Final,14,Oklahoma (9-3),10,4,Big 12
8,Final,15,Clemson (10-3),20,5,ACC (Atlantic)
8,Final,16,Georgia (10-3),14,2,SEC (East)
8,Final,17,Michigan State (10-3),13,4,Big Ten (Legends)
8,Final,18,Texas Christian (10-2),18,,MWC
8,Final,19,Houston (12-1),6,13,CUSA (West)
8,Final,20,Nebraska (9-3),19,1,Big Ten (Legends)
8,Final,21,Southern Mississippi (11-2),24,3,CUSA (East)
8,Final,22,Penn State (9-3),21,1,Big Ten (Leaders)
8,Final,23,West Virginia (9-3),23,,Big East
8,Final,24,Texas (7-5),22,2,Big 12
8,Final,25,Auburn (7-5),,,SEC (West)
7,2011-11-27,1,LSU (12-0),1,,SEC (West)
7,2011-11-27,2,Alabama (11-1),2,,SEC (West)
7,2011-11-27,3,Oklahoma State (10-1),4,1,Big 12
7,2011-11-27,4,Stanford (11-1),6,2,Pac-12 (North)
7,2011-11-27,5,Virginia Tech (11-1),5,,ACC (Coastal)
7,2011-11-27,6,Houston (12-0),8,2,CUSA (West)
7,2011-11-27,7,Boise State (10-1),7,,MWC
7,2011-11-27,8,Arkansas (10-2),3,5,SEC (West)
7,2011-11-27,9,Oregon (10-2),10,1,Pac-12 (North)
7,2011-11-27,10,Oklahoma (9-2),9,1,Big 12
