Wk,Date,Rk,School,Prev,Chng,Conf
5,2010-11-14,17,South Carolina (7-3),23,6,SEC (East)
5,2010-11-14,18,Nevada (9-1),21,3,WAC
5,2010-11-14,19,Texas A&M (7-3),25,6,Big 12 (South)
5,2010-11-14,20,Iowa (7-3),13,7,Big Ten
5,2010-11-14,21,Mississippi State (7-3),19,2,SEC (West)
5,2010-11-14,22,Arizona (7-3),18,4,Pac-10
5,2010-11-14,23,Utah (8-2),14,9,MWC
5,2010-11-14,24,Miami (FL) (7-3),,,ACC (Coastal)
5,2010-11-14,25,Florida State (7-3),,,ACC (Atlantic)
4,2010-11-07,1,Oregon (9-0),1,,Pac-10
4,2010-11-07,2,Auburn (10-0),2,,SEC (West)
4,2010-11-07,3,Texas Christian (10-0),3,,MWC
4,2010-11-07,4,Boise State (8-0),4,,WAC
4,2010-11-07,5,LSU (8-1),10,5,SEC (West)
4,2010-11-07,6,Stanford (8-1),13,7,Pac-10
4,2010-11-07,7,Wisconsin (8-1),9,2,Big Ten
4,2010-11-07,8,Nebraska (8-1),7,1,Big 12 (North)
4,2010-11-07,9,Ohio State (8-1),11,2,Big Ten
4,2010-11-07,10,Oklahoma State (8-1),17,7,Big 12 (South)
4,2010-11-07,11,Michigan State (9-1),14,3,Big Ten
4,2010-11-07,12,Alabama (7-2),6,6,SEC (West)
4,2010-11-07,13,Iowa (7-2),16,3,Big Ten
4,2010-11-07,14,Utah (8-1),5,9,MWC
4,2010-11-07,15,Arkansas (7-2),18,3,SEC (West)
4,2010-11-07,16,Oklahoma (7-2),8,8,Big 12 (South)
4,2010-11-07,17,Missouri (7-2),12,5,Big 12 (North)
4,2010-11-07,18,Arizona (7-2),15,3,Pac-10
4,2010-11-07,19,Mississippi State (7-2),20,1,SEC (West)
4,2010-11-07,20,Virginia Tech (7-2),22,2,ACC (Coastal)
4,2010-11-07,21,Nevada (8-1),23,2,WAC
4,2010-11-07,22,Florida (6-3),,,SEC (East)
4,2010-11-07,23,South Carolina (6-3),19,4,SEC (East)
4,2010-11-07,24,Kansas State (6-3),,,Big 12 (North)
4,2010-11-07,25,Texas A&M (6-3),,,Big 12 (South)
3,2010-10-31,1,Oregon (8-0),2,1,Pac-10
3,2010-10-31,2,Auburn (9-0),1,1,SEC (West)
3,2010-10-31,3,Texas Christian (9-0),4,1,MWC
3,2010-10-31,4,Boise State (7-0),3,1,WAC
3,2010-10-31,5,Utah (8-0),8,3,MWC
3,2010-10-31,6,Alabama (7-1),7,1,SEC (West)
3,2010-10-31,7,Nebraska (7-1),14,7,Big 12 (North)
3,2010-10-31,8,Oklahoma (7-1),9,1,Big 12 (South)
3,2010-10-31,9,Wisconsin (7-1),10,1,Big Ten
3,2010-10-31,10,LSU (7-1),12,2,SEC (West)
3,2010-10-31,11,Ohio State (8-1),11,,Big Ten
3,2010-10-31,12,Missouri (7-1),6,6,Big 12 (North)
3,2010-10-31,13,Stanford (7-1),13,,Pac-10
3,2010-10-31,14,Michigan State (8-1),5,9,Big Ten
3,2010-10-31,15,Arizona (7-1),15,,Pac-10
3,2010-10-31,16,Iowa (6-2),18,2,Big Ten
3,2010-10-31,17,Oklahoma State (7-1),17,,Big 12 (South)
3,2010-10-31,18,Arkansas (6-2),19,1,SEC (West)
3,2010-10-31,19,South Carolina (6-2),20,1,SEC (East)
3,2010-10-31,20,Mississippi State (7-2),21,1,SEC (West)
3,2010-10-31,21,Baylor (7-2),25,4,Big 12 (South)
3,2010-10-31,22,Virginia Tech (6-2),23,1,ACC (Coastal)
3,2010-10-31,23,Nevada (7-1),24,1,WAC
3,2010-10-31,24,Florida State (6-2),16,8,ACC (Atlantic)
3,2010-10-31,25,North Carolina State (6-2),,,ACC (Atlantic)
2,2010-10-24,1,Auburn (8-0),4,3,SEC (West)
2,2010-10-24,2,Oregon (7-0),2,,Pac-10
2,2010-10-24,3,Boise State (6-0),3,,WAC
2,2010-10-24,4,Texas Christian (8-0),5,1,MWC
2,2010-10-24,5,Michigan State (8-0),7,2,Big Ten
2,2010-10-24,6,Missouri (7-0),11,5,Big 12 (North)
2,2010-10-24,7,Alabama (7-1),8,1,SEC (West)
2,2010-10-24,8,Utah (7-0),9,1,MWC
2,2010-10-24,9,Oklahoma (6-1),1,8,Big 12 (South)
2,2010-10-24,10,Wisconsin (7-1),13,3,Big Ten
2,2010-10-24,11,Ohio State (7-1),10,1,Big Ten
