Wk,Date,Rk,School,Prev,Chng,Conf
8,Final,1,Ohio State (12-0),1,,Big Ten
8,Final,2,Florida (11-1),4,2,SEC (East)
8,Final,3,Michigan (11-1),3,,Big Ten
8,Final,4,LSU (10-2),5,1,SEC (West)
8,Final,5,USC (10-1),2,3,Pac-10
8,Final,6,Louisville (10-1),6,,Big East
8,Final,7,Wisconsin (11-1),7,,Big Ten
8,Final,8,Boise State (12-0),8,,WAC
8,Final,9,Auburn (10-2),11,2,SEC (West)
8,Final,10,Oklahoma (10-2),12,2,Big 12 (South)
8,Final,11,Notre Dame (10-2),10,1,Ind
8,Final,12,Arkansas (10-2),9,3,SEC (West)
8,Final,13,West Virginia (9-2),15,2,Big East
8,Final,14,Wake Forest (10-2),17,3,ACC (Atlantic)
8,Final,15,Virginia Tech (10-2),14,1,ACC (Coastal)
8,Final,16,Rutgers (10-1),13,3,Big East
8,Final,17,Tennessee (9-3),16,1,SEC (East)
8,Final,18,California (8-3),18,,Pac-10
8,Final,19,Texas (9-3),19,,Big 12 (South)
8,Final,20,BYU (10-2),21,1,MWC
8,Final,21,Texas A&M (9-3),23,2,Big 12 (South)
8,Final,22,Oregon State (8-4),24,2,Pac-10
8,Final,23,Nebraska (9-3),20,3,Big 12 (North)
8,Final,24,Boston College (9-3),,,ACC (Atlantic)
8,Final,25,UCLA (6-5),,,Pac-10
7,2006-11-25,1,Ohio State (12-0),1,,Big Ten
7,2006-11-25,2,USC (9-1),3,1,Pac-10
7,2006-11-25,3,Michigan (11-1),2,1,Big Ten
7,2006-11-25,4,Florida (10-1),4,,SEC (East)
7,2006-11-25,5,LSU (10-2),10,5,SEC (West)
7,2006-11-25,6,Louisville (9-1),9,3,Big East
7,2006-11-25,7,Wisconsin (11-1),8,1,Big Ten
7,2006-11-25,8,Boise State (11-0),11,3,WAC
7,2006-11-25,9,Arkansas (10-2),6,3,SEC (West)
7,2006-11-25,10,Notre Dame (10-1),5,5,Ind
7,2006-11-25,11,Auburn (10-2),12,1,SEC (West)
7,2006-11-25,12,Oklahoma (9-2),15,3,Big 12 (South)
7,2006-11-25,13,Rutgers (9-1),14,1,Big East
7,2006-11-25,14,Virginia Tech (9-2),17,3,ACC (Coastal)
7,2006-11-25,15,West Virginia (9-1),7,8,Big East
7,2006-11-25,16,Tennessee (8-3),20,4,SEC (East)
7,2006-11-25,17,Wake Forest (9-2),21,4,ACC (Atlantic)
7,2006-11-25,18,California (8-3),19,1,Pac-10
7,2006-11-25,19,Texas (9-3),13,6,Big 12 (South)
7,2006-11-25,20,Nebraska (9-3),22,2,Big 12 (North)
7,2006-11-25,21,BYU (9-2),23,2,MWC
7,2006-11-25,22,Georgia Tech (9-2),16,6,ACC (Coastal)
7,2006-11-25,23,Texas A&M (9-3),,,Big 12 (South)
7,2006-11-25,24,Oregon State (8-4),,,Pac-10
7,2006-11-25,25,Hawaii (9-2),,,WAC
6,2006-11-18,1,Ohio State (11-0),1,,Big Ten
6,2006-11-18,2,Michigan (11-0),2,,Big Ten
6,2006-11-18,3,USC (8-1),3,,Pac-10
6,2006-11-18,4,Florida (9-1),4,,SEC (East)
6,2006-11-18,5,Notre Dame (9-1),5,,Ind
6,2006-11-18,6,Arkansas (9-1),7,1,SEC (West)
6,2006-11-18,7,West Virginia (9-1),8,1,Big East
6,2006-11-18,8,Wisconsin (10-1),9,1,Big Ten
6,2006-11-18,9,Louisville (8-1),10,1,Big East
6,2006-11-18,10,LSU (8-2),11,1,SEC (West)
6,2006-11-18,11,Boise State (10-0),12,1,WAC
6,2006-11-18,12,Auburn (9-2),14,2,SEC (West)
6,2006-11-18,13,Texas (9-2),13,,Big 12 (South)
6,2006-11-18,14,Rutgers (9-0),6,8,Big East
6,2006-11-18,15,Oklahoma (8-2),17,2,Big 12 (South)
6,2006-11-18,16,Georgia Tech (8-2),18,2,ACC (Coastal)
6,2006-11-18,17,Virginia Tech (8-2),21,4,ACC (Coastal)
6,2006-11-18,18,Boston College (8-2),20,2,ACC (Atlantic)
6,2006-11-18,19,California (8-2),15,4,Pac-10
6,2006-11-18,20,Tennessee (7-3),22,2,SEC (East)
6,2006-11-18,21,Wake Forest (9-1),16,5,ACC (Atlantic)
6,2006-11-18,22,Nebraska (8-3),23,1,Big 12 (North)
6,2006-11-18,23,BYU (8-2),25,2,MWC
6,2006-11-18,24,Clemson (8-3),,,ACC (Atlantic)
6,2006-11-18,25,Penn State (7-4),,,Big Ten
5,2006-11-11,1,Ohio State (10-0),1,,Big Ten
5,2006-11-11,2,Michigan (10-0),2,,Big Ten
5,2006-11-11,3,USC (7-1),7,4,Pac-10
5,2006-11-11,4,Florida (8-1),4,,SEC (East)
5,2006-11-11,5,Notre Dame (8-1),9,4,Ind
5,2006-11-11,6,Rutgers (9-0),13,7,Big East
5,2006-11-11,7,Arkansas (8-1),11,4,SEC (West)
5,2006-11-11,8,West Virginia (7-1),10,2,Big East
5,2006-11-11,9,Wisconsin (9-1),15,6,Big Ten
5,2006-11-11,10,Louisville (8-1),3,7,Big East
5,2006-11-11,11,LSU (7-2),12,1,SEC (West)
5,2006-11-11,12,Boise State (9-0),14,2,WAC
5,2006-11-11,13,Texas (9-1),5,8,Big 12 (South)
5,2006-11-11,14,Auburn (9-1),6,8,SEC (West)
5,2006-11-11,15,California (8-1),8,7,Pac-10
5,2006-11-11,16,Wake Forest (8-1),19,3,ACC (Atlantic)
5,2006-11-11,17,Oklahoma (7-2),17,,Big 12 (South)
5,2006-11-11,18,Georgia Tech (7-2),18,,ACC (Coastal)
5,2006-11-11,19,Maryland (7-2),23,4,ACC (Atlantic)
5,2006-11-11,20,Boston College (7-2),22,2,ACC (Atlantic)
5,2006-11-11,21,Virginia Tech (7-2),21,,ACC (Coastal)
5,2006-11-11,22,Tennessee (7-2),16,6,SEC (East)
5,2006-11-11,23,Nebraska (7-3),,,Big 12 (North)
5,2006-11-11,24,Oregon State (6-3),24,,Pac-10
5,2006-11-11,25,BYU (8-2),,,MWC
4,2006-11-04,1,Ohio State (9-0),1,,Big Ten
4,2006-11-04,2,Michigan (9-0),2,,Big Ten
4,2006-11-04,3,Louisville (8-0),5,2,Big East
4,2006-11-04,4,Florida (7-1),4,,SEC (East)
4,2006-11-04,5,Texas (8-1),7,2,Big 12 (South)
4,2006-11-04,6,Auburn (8-1),6,,SEC (West)
4,2006-11-04,7,USC (6-1),8,1,Pac-10
4,2006-11-04,8,California (7-1),10,2,Pac-10
4,2006-11-04,9,Notre Dame (7-1),9,,Ind
4,2006-11-04,10,West Virginia (7-1),3,7,Big East
4,2006-11-04,11,Arkansas (7-1),13,2,SEC (West)
4,2006-11-04,12,LSU (6-2),17,5,SEC (West)
4,2006-11-04,13,Rutgers (8-0),12,1,Big East
4,2006-11-04,14,Boise State (9-0),14,,WAC
4,2006-11-04,15,Wisconsin (8-1),16,1,Big Ten
4,2006-11-04,16,Tennessee (7-1),11,5,SEC (East)
4,2006-11-04,17,Oklahoma (6-2),18,1,Big 12 (South)
4,2006-11-04,18,Georgia Tech (6-2),20,2,ACC (Coastal)
4,2006-11-04,19,Wake Forest (7-1),24,5,ACC (Atlantic)
4,2006-11-04,20,Oregon (6-2),22,2,Pac-10
4,2006-11-04,21,Virginia Tech (6-2),25,4,ACC (Coastal)
4,2006-11-04,22,Boston College (7-1),15,7,ACC (Atlantic)
4,2006-11-04,23,Maryland (6-2),,,ACC (Atlantic)
4,2006-11-04,24,Oregon State (5-3),,,Pac-10
4,2006-11-04,25,Texas A&M (8-1),21,4,Big 12 (South)
3,2006-10-28,1,Ohio State (8-0),1,,Big Ten
3,2006-10-28,2,Michigan (8-0),2,,Big Ten
3,2006-10-28,3,West Virginia (7-0),4,1,Big East
3,2006-10-28,4,Florida (6-1),6,2,SEC (East)
3,2006-10-28,5,Louisville (7-0),8,3,Big East
3,2006-10-28,6,Auburn (7-1),5,1,SEC (West)
3,2006-10-28,7,Texas (7-1),7,,Big 12 (South)
3,2006-10-28,8,USC (6-0),3,5,Pac-10
3,2006-10-28,9,Notre Dame (6-1),9,,Ind
3,2006-10-28,10,California (7-1),10,,Pac-10
3,2006-10-28,11,Tennessee (6-1),11,,SEC (East)
3,2006-10-28,12,Rutgers (7-0),14,2,Big East
3,2006-10-28,13,Arkansas (6-1),13,,SEC (West)
3,2006-10-28,14,Boise State (8-0),15,1,WAC
3,2006-10-28,15,Boston College (6-1),17,2,ACC (Atlantic)
3,2006-10-28,16,Wisconsin (7-1),18,2,Big Ten
3,2006-10-28,17,LSU (6-2),16,1,SEC (West)
3,2006-10-28,18,Oklahoma (5-2),19,1,Big 12 (South)
3,2006-10-28,19,Clemson (7-2),12,7,ACC (Atlantic)
3,2006-10-28,20,Georgia Tech (5-2),24,4,ACC (Coastal)
3,2006-10-28,21,Texas A&M (7-1),21,,Big 12 (South)
3,2006-10-28,22,Oregon (5-2),23,1,Pac-10
3,2006-10-28,23,Washington State (5-3),25,2,Pac-10
3,2006-10-28,24,Wake Forest (6-1),,,ACC (Atlantic)
3,2006-10-28,25,Virginia Tech (6-2),,,ACC (Coastal)
2,2006-10-21,1,Ohio State (7-0),1,,Big Ten
2,2006-10-21,2,Michigan (7-0),3,1,Big Ten
2,2006-10-21,3,USC (6-0),2,1,Pac-10
2,2006-10-21,4,West Virginia (7-0),5,1,Big East
2,2006-10-21,5,Auburn (6-1),4,1,SEC (West)
2,2006-10-21,6,Florida (6-1),6,,SEC (East)
2,2006-10-21,7,Texas (6-1),9,2,Big 12 (South)
2,2006-10-21,8,Louisville (6-0),7,1,Big East
2,2006-10-21,9,Notre Dame (5-1),8,1,Ind
2,2006-10-21,10,California (6-1),10,,Pac-10
2,2006-10-21,11,Tennessee (5-1),11,,SEC (East)
2,2006-10-21,12,Clemson (6-1),12,,ACC (Atlantic)
2,2006-10-21,13,Arkansas (5-1),13,,SEC (West)
2,2006-10-21,14,Rutgers (6-0),16,2,Big East
2,2006-10-21,15,Boise State (7-0),15,,WAC
2,2006-10-21,16,LSU (5-2),18,2,SEC (West)
2,2006-10-21,17,Boston College (5-1),20,3,ACC (Atlantic)
2,2006-10-21,18,Wisconsin (6-1),21,3,Big Ten
2,2006-10-21,19,Oklahoma (4-2),22,3,Big 12 (South)
2,2006-10-21,20,Missouri (6-1),24,4,Big 12 (North)
2,2006-10-21,21,Texas A&M (6-1),,,Big 12 (South)
2,2006-10-21,22,Nebraska (6-1),17,5,Big 12 (North)
2,2006-10-21,23,Oregon (5-1),14,9,Pac-10
2,2006-10-21,24,Georgia Tech (5-1),19,5,ACC (Coastal)
2,2006-10-21,25,Washington State (4-3),,,Pac-10
1,2006-10-14,1,Ohio State (6-0),NA,—,Big Ten
1,2006-10-14,2,USC (5-0),NA,—,Pac-10
1,2006-10-14,3,Michigan (6-0),NA,—,Big Ten
1,2006-10-14,4,Auburn (5-1),NA,—,SEC (West)
1,2006-10-14,5,West Virginia (5-0),NA,—,Big East
1,2006-10-14,6,Florida (6-0),NA,—,SEC (East)
1,2006-10-14,7,Louisville (5-0),NA,—,Big East
1,2006-10-14,8,Notre Dame (5-1),NA,—,Ind
1,2006-10-14,9,Texas (5-1),NA,—,Big 12 (South)
1,2006-10-14,10,California (5-1),NA,—,Pac-10
1,2006-10-14,11,Tennessee (5-1),NA,—,SEC (East)
1,2006-10-14,12,Clemson (6-1),NA,—,ACC (Atlantic)
1,2006-10-14,13,Arkansas (4-1),NA,—,SEC (West)
1,2006-10-14,14,Oregon (4-1),NA,—,Pac-10
1,2006-10-14,15,Boise State (6-0),NA,—,WAC
1,2006-10-14,16,Rutgers (5-0),NA,—,Big East
1,2006-10-14,17,Nebraska (5-1),NA,—,Big 12 (North)
1,2006-10-14,18,LSU (4-2),NA,—,SEC (West)
1,2006-10-14,19,Georgia Tech (5-1),NA,—,ACC (Coastal)
1,2006-10-14,20,Boston College (5-1),NA,—,ACC (Atlantic)
1,2006-10-14,21,Wisconsin (5-1),NA,—,Big Ten
1,2006-10-14,22,Oklahoma (3-2),NA,—,Big 12 (South)
1,2006-10-14,23,Iowa (5-1),NA,—,Big Ten
1,2006-10-14,24,Missouri (6-0),NA,—,Big 12 (North)
1,2006-10-14,25,Tulsa (4-1),NA,—,CUSA (West)
