Wk,Date,Rk,School,Prev,Chng,Conf
8,Final,1,Notre Dame (12-0),1,,Ind
8,Final,2,Alabama (12-1),2,,SEC (West)
8,Final,3,Florida (11-1),4,1,SEC (East)
8,Final,4,Oregon (11-1),5,1,Pac-12 (North)
8,Final,5,Kansas State (11-1),6,1,Big 12
8,Final,6,Stanford (11-2),8,2,Pac-12 (North)
8,Final,7,Georgia (11-2),3,4,SEC (East)
8,Final,8,LSU (10-2),7,1,SEC (West)
8,Final,9,Texas A&M (10-2),9,,SEC (West)
8,Final,10,South Carolina (10-2),10,,SEC (East)
8,Final,11,Oklahoma (10-2),11,,Big 12
8,Final,12,Florida State (11-2),13,1,ACC (Atlantic)
8,Final,13,Oregon State (9-3),15,2,Pac-12 (North)
8,Final,14,Clemson (10-2),14,,ACC (Atlantic)
8,Final,15,Northern Illinois (12-1),21,6,MAC (West)
8,Final,16,Nebraska (10-3),12,4,Big Ten (Legends)
8,Final,17,UCLA (9-4),16,1,Pac-12 (South)
8,Final,18,Michigan (8-4),19,1,Big Ten (Legends)
8,Final,19,Boise State (10-2),20,1,MWC
8,Final,20,Northwestern (9-3),22,2,Big Ten (Legends)
8,Final,21,Louisville (10-2),,,Big East
8,Final,22,Utah State (10-2),24,2,WAC
8,Final,23,Texas (8-4),18,5,Big 12
8,Final,24,San Jose State (10-2),25,1,WAC
8,Final,25,Kent State (11-2),17,8,MAC (East)
7,2012-11-25,1,Notre Dame (12-0),1,,Ind
7,2012-11-25,2,Alabama (11-1),2,,SEC (West)
7,2012-11-25,3,Georgia (11-1),3,,SEC (East)
7,2012-11-25,4,Florida (11-1),4,,SEC (East)
7,2012-11-25,5,Oregon (11-1),5,,Pac-12 (North)
7,2012-11-25,6,Kansas State (10-1),6,,Big 12
7,2012-11-25,7,LSU (10-2),7,,SEC (West)
7,2012-11-25,8,Stanford (10-2),8,,Pac-12 (North)
7,2012-11-25,9,Texas A&M (10-2),9,,SEC (West)
7,2012-11-25,10,South Carolina (10-2),12,2,SEC (East)
7,2012-11-25,11,Oklahoma (9-2),13,2,Big 12
7,2012-11-25,12,Nebraska (10-2),14,2,Big Ten (Legends)
7,2012-11-25,13,Florida State (10-2),10,3,ACC (Atlantic)
7,2012-11-25,14,Clemson (10-2),11,3,ACC (Atlantic)
7,2012-11-25,15,Oregon State (8-3),15,,Pac-12 (North)
7,2012-11-25,16,UCLA (9-3),17,1,Pac-12 (South)
7,2012-11-25,17,Kent State (11-1),23,6,MAC (East)
7,2012-11-25,18,Texas (8-3),16,2,Big 12
7,2012-11-25,19,Michigan (8-4),19,,Big Ten (Legends)
7,2012-11-25,20,Boise State (9-2),22,2,MWC
7,2012-11-25,21,Northern Illinois (11-1),,,MAC (West)
7,2012-11-25,22,Northwestern (9-3),,,Big Ten (Legends)
7,2012-11-25,23,Oklahoma State (7-4),21,2,Big 12
7,2012-11-25,24,Utah State (10-2),,,WAC
7,2012-11-25,25,San Jose State (10-2),,,WAC
6,2012-11-18,1,Notre Dame (11-0),3,2,Ind
6,2012-11-18,2,Alabama (10-1),4,2,SEC (West)
6,2012-11-18,3,Georgia (10-1),5,2,SEC (East)
6,2012-11-18,4,Florida (10-1),6,2,SEC (East)
6,2012-11-18,5,Oregon (10-1),2,3,Pac-12 (North)
6,2012-11-18,6,Kansas State (10-1),1,5,Big 12
6,2012-11-18,7,LSU (9-2),7,,SEC (West)
6,2012-11-18,8,Stanford (9-2),13,5,Pac-12 (North)
6,2012-11-18,9,Texas A&M (9-2),8,1,SEC (West)
6,2012-11-18,10,Florida State (10-1),10,,ACC (Atlantic)
6,2012-11-18,11,Clemson (10-1),11,,ACC (Atlantic)
6,2012-11-18,12,South Carolina (9-2),9,3,SEC (East)
6,2012-11-18,13,Oklahoma (8-2),12,1,Big 12
6,2012-11-18,14,Nebraska (9-2),14,,Big Ten (Legends)
6,2012-11-18,15,Oregon State (8-2),16,1,Pac-12 (North)
6,2012-11-18,16,Texas (8-2),15,1,Big 12
6,2012-11-18,17,UCLA (9-2),17,,Pac-12 (South)
6,2012-11-18,18,Rutgers (9-1),22,4,Big East
6,2012-11-18,19,Michigan (8-3),21,2,Big Ten (Legends)
6,2012-11-18,20,Louisville (9-1),19,1,Big East
6,2012-11-18,21,Oklahoma State (7-3),24,3,Big 12
6,2012-11-18,22,Boise State (9-2),,,MWC
6,2012-11-18,23,Kent State (10-1),,,MAC (East)
6,2012-11-18,24,Arizona (7-4),,,Pac-12 (South)
6,2012-11-18,25,Washington (7-4),25,,Pac-12 (North)
5,2012-11-11,1,Kansas State (10-0),2,1,Big 12
5,2012-11-11,2,Oregon (10-0),3,1,Pac-12 (North)
5,2012-11-11,3,Notre Dame (10-0),4,1,Ind
5,2012-11-11,4,Alabama (9-1),1,3,SEC (West)
5,2012-11-11,5,Georgia (9-1),5,,SEC (East)
5,2012-11-11,6,Florida (9-1),6,,SEC (East)
5,2012-11-11,7,LSU (8-2),7,,SEC (West)
5,2012-11-11,8,Texas A&M (8-2),15,7,SEC (West)
5,2012-11-11,9,South Carolina (8-2),8,1,SEC (East)
5,2012-11-11,10,Florida State (9-1),10,,ACC (Atlantic)
5,2012-11-11,11,Clemson (9-1),13,2,ACC (Atlantic)
5,2012-11-11,12,Oklahoma (7-2),12,,Big 12
5,2012-11-11,13,Stanford (8-2),14,1,Pac-12 (North)
5,2012-11-11,14,Nebraska (8-2),16,2,Big Ten (Legends)
5,2012-11-11,15,Texas (8-2),17,2,Big 12
5,2012-11-11,16,Oregon State (7-2),11,5,Pac-12 (North)
5,2012-11-11,17,UCLA (8-2),18,1,Pac-12 (South)
5,2012-11-11,18,USC (7-3),19,1,Pac-12 (South)
5,2012-11-11,19,Louisville (9-1),9,10,Big East
5,2012-11-11,20,Louisiana Tech (9-1),20,,WAC
5,2012-11-11,21,Michigan (7-3),,,Big Ten (Legends)
5,2012-11-11,22,Rutgers (8-1),23,1,Big East
5,2012-11-11,23,Texas Tech (7-3),22,1,Big 12
5,2012-11-11,24,Oklahoma State (6-3),,,Big 12
5,2012-11-11,25,Washington (6-4),,,Pac-12 (North)
4,2012-11-04,1,Alabama (9-0),1,,SEC (West)
4,2012-11-04,2,Kansas State (9-0),2,,Big 12
4,2012-11-04,3,Oregon (9-0),4,1,Pac-12 (North)
4,2012-11-04,4,Notre Dame (9-0),3,1,Ind
4,2012-11-04,5,Georgia (8-1),6,1,SEC (East)
4,2012-11-04,6,Florida (8-1),7,1,SEC (East)
