Wk,Date,Rk,School,Prev,Chng,Conf
7,Final,1,Oklahoma (11-0),1,,Big 12 (South)
7,Final,2,Florida State (11-1),2,,ACC
7,Final,3,Miami (FL) (10-1),3,,Big East
7,Final,4,Washington (10-1),4,,Pac-10
7,Final,5,Virginia Tech (10-1),5,,Big East
7,Final,6,Oregon State (10-1),6,,Pac-10
7,Final,7,Florida (9-2),7,,SEC (East)
7,Final,8,Nebraska (9-2),8,,Big 12 (North)
7,Final,9,Kansas State (10-2),9,,Big 12 (North)
7,Final,10,Oregon (9-2),10,,Pac-10
7,Final,11,Notre Dame (9-2),11,,Ind
7,Final,12,Texas (9-2),12,,Big 12 (South)
7,Final,13,Georgia Tech (9-2),13,,ACC
7,Final,14,Texas Christian (10-1),14,,WAC
7,Final,15,Clemson (9-2),15,,ACC
7,Final,16,Michigan (8-3),16,,Big Ten
6,2000-11-25,1,Oklahoma (10-0),1,,Big 12 (South)
6,2000-11-25,2,Florida State (11-1),2,,ACC
6,2000-11-25,3,Miami (FL) (9-1),3,,Big East
6,2000-11-25,4,Washington (10-1),4,,Pac-10
6,2000-11-25,5,Virginia Tech (9-1),6,1,Big East
6,2000-11-25,6,Oregon State (10-1),5,1,Pac-10
6,2000-11-25,7,Florida (9-2),7,,SEC (East)
6,2000-11-25,8,Nebraska (9-2),8,,Big 12 (North)
6,2000-11-25,9,Kansas State (10-2),9,,Big 12 (North)
6,2000-11-25,10,Oregon (9-2),10,,Pac-10
6,2000-11-25,11,Notre Dame (8-2),11,,Ind
6,2000-11-25,12,Texas (9-2),12,,Big 12 (South)
6,2000-11-25,13,Georgia Tech (8-2),,,ACC
6,2000-11-25,14,Texas Christian (10-1),14,,WAC
6,2000-11-25,15,Clemson (9-2),13,2,ACC
6,2000-11-25,16,Michigan (8-3),15,1,Big Ten
5,2000-11-18,1,Oklahoma (9-0),1,,Big 12 (South)
5,2000-11-18,2,Florida State (10-1),3,1,ACC
5,2000-11-18,3,Miami (FL) (8-1),2,1,Big East
5,2000-11-18,4,Washington (9-1),5,1,Pac-10
5,2000-11-18,5,Oregon State (9-1),9,4,Pac-10
5,2000-11-18,6,Virginia Tech (9-1),6,,Big East
5,2000-11-18,7,Florida (9-1),4,3,SEC (East)
5,2000-11-18,8,Nebraska (8-2),8,,Big 12 (North)
5,2000-11-18,9,Kansas State (9-2),10,1,Big 12 (North)
5,2000-11-18,10,Oregon (9-1),7,3,Pac-10
5,2000-11-18,11,Notre Dame (7-2),11,,Ind
5,2000-11-18,12,Texas (8-2),14,2,Big 12 (South)
5,2000-11-18,13,Clemson (8-2),,,ACC
