Wk,Date,Rk,School,Prev,Chng,Conf
8,Final,1,Oklahoma (12-0),1,,Big 12 (South)
8,Final,2,LSU (11-1),3,1,SEC (West)
8,Final,3,USC (10-1),2,1,Pac-10
8,Final,4,Michigan (10-2),4,,Big Ten
8,Final,5,Ohio State (10-2),5,,Big Ten
8,Final,6,Texas (10-2),6,,Big 12 (South)
8,Final,7,Florida State (10-2),8,1,ACC
8,Final,8,Tennessee (10-2),9,1,SEC (East)
8,Final,9,Miami (FL) (10-2),10,1,Big East
8,Final,10,Kansas State (10-3),15,5,Big 12 (North)
8,Final,11,Miami (OH) (12-1),11,,MAC (East)
8,Final,12,Georgia (10-2),7,5,SEC (East)
8,Final,13,Iowa (9-3),12,1,Big Ten
8,Final,14,Purdue (9-3),13,1,Big Ten
8,Final,15,Florida (8-4),14,1,SEC (East)
8,Final,16,Washington State (9-3),16,,Pac-10
8,Final,17,Boise State (11-1),19,2,WAC
8,Final,18,Texas Christian (11-1),17,1,CUSA
8,Final,19,Ole Miss (9-3),20,1,SEC (West)
8,Final,20,Nebraska (9-3),21,1,Big 12 (North)
8,Final,21,Oklahoma State (9-3),22,1,Big 12 (South)
8,Final,22,Utah (9-2),23,1,MWC
8,Final,23,Maryland (9-3),24,1,ACC
8,Final,24,Bowling Green (10-3),18,6,MAC (West)
8,Final,25,Minnesota (9-3),25,,Big Ten
7,2003-11-29,1,Oklahoma (12-0),1,,Big 12 (South)
7,2003-11-29,2,USC (10-1),2,,Pac-10
7,2003-11-29,3,LSU (11-1),3,,SEC (West)
7,2003-11-29,4,Michigan (10-2),4,,Big Ten
7,2003-11-29,5,Ohio State (10-2),5,,Big Ten
7,2003-11-29,6,Texas (10-2),6,,Big 12 (South)
7,2003-11-29,7,Georgia (9-2),7,,SEC (East)
7,2003-11-29,8,Florida State (9-2),9,1,ACC
7,2003-11-29,9,Tennessee (9-2),8,1,SEC (East)
7,2003-11-29,10,Miami (FL) (9-2),10,,Big East
7,2003-11-29,11,Miami (OH) (11-1),13,2,MAC (East)
7,2003-11-29,12,Iowa (9-3),12,,Big Ten
7,2003-11-29,13,Purdue (9-3),14,1,Big Ten
7,2003-11-29,14,Florida (8-3),11,3,SEC (East)
7,2003-11-29,15,Kansas State (10-3),16,1,Big 12 (North)
7,2003-11-29,16,Washington State (9-3),15,1,Pac-10
7,2003-11-29,17,Texas Christian (10-1),17,,CUSA
7,2003-11-29,18,Bowling Green (9-2),20,2,MAC (West)
7,2003-11-29,19,Boise State (10-1),19,,WAC
7,2003-11-29,20,Ole Miss (9-3),18,2,SEC (West)
7,2003-11-29,21,Nebraska (9-3),23,2,Big 12 (North)
7,2003-11-29,22,Oklahoma State (9-3),21,1,Big 12 (South)
7,2003-11-29,23,Utah (9-2),22,1,MWC
7,2003-11-29,24,Maryland (8-3),,,ACC
7,2003-11-29,25,Minnesota (9-3),,,Big Ten
6,2003-11-22,1,Oklahoma (11-0),1,,Big 12 (South)
6,2003-11-22,2,USC (9-1),3,1,Pac-10
6,2003-11-22,3,LSU (9-1),4,1,SEC (West)
6,2003-11-22,4,Michigan (9-2),9,5,Big Ten
6,2003-11-22,5,Ohio State (10-1),2,3,Big Ten
6,2003-11-22,6,Texas (9-2),5,1,Big 12 (South)
6,2003-11-22,7,Georgia (8-2),6,1,SEC (East)
6,2003-11-22,8,Tennessee (8-2),7,1,SEC (East)
6,2003-11-22,9,Florida State (9-2),11,2,ACC
6,2003-11-22,10,Miami (FL) (8-2),12,2,Big East
6,2003-11-22,11,Florida (8-3),13,2,SEC (East)
6,2003-11-22,12,Iowa (8-3),18,6,Big Ten
6,2003-11-22,13,Miami (OH) (9-1),14,1,MAC (East)
6,2003-11-22,14,Purdue (8-3),16,2,Big Ten
6,2003-11-22,15,Washington State (9-2),10,5,Pac-10
6,2003-11-22,16,Kansas State (9-3),19,3,Big 12 (North)
6,2003-11-22,17,Texas Christian (10-1),8,9,CUSA
6,2003-11-22,18,Ole Miss (8-2),15,3,SEC (West)
6,2003-11-22,19,Boise State (10-1),23,4,WAC
6,2003-11-22,20,Bowling Green (8-2),20,,MAC (West)
6,2003-11-22,21,Oklahoma State (8-3),21,,Big 12 (South)
6,2003-11-22,22,Utah (8-2),24,2,MWC
6,2003-11-22,23,Nebraska (8-3),22,1,Big 12 (North)
6,2003-11-22,24,Arkansas (7-3),,,SEC (West)
6,2003-11-22,25,Pitt (7-3),25,,Big East
5,2003-11-15,1,Oklahoma (10-0),1,,Big 12 (South)
5,2003-11-15,2,Ohio State (9-1),3,1,Big Ten
5,2003-11-15,3,USC (8-1),2,1,Pac-10
5,2003-11-15,4,LSU (8-1),4,,SEC (West)
5,2003-11-15,5,Texas (8-2),5,,Big 12 (South)
5,2003-11-15,6,Georgia (7-2),9,3,SEC (East)
5,2003-11-15,7,Tennessee (7-2),7,,SEC (East)
5,2003-11-15,8,Texas Christian (9-0),6,2,CUSA
5,2003-11-15,9,Michigan (8-2),8,1,Big Ten
5,2003-11-15,10,Washington State (8-2),10,,Pac-10
5,2003-11-15,11,Florida State (8-2),13,2,ACC
5,2003-11-15,12,Miami (FL) (7-2),12,,Big East
