Wk,Date,Rk,School,Prev,Chng,Conf
8,Final,1,Alabama (13-0),2,1,SEC (West)
8,Final,2,Texas (13-0),3,1,Big 12 (South)
8,Final,3,Cincinnati (12-0),5,2,Big East
8,Final,4,Texas Christian (12-0),4,,MWC
8,Final,5,Florida (12-1),1,4,SEC (East)
8,Final,6,Boise State (13-0),6,,WAC
8,Final,7,Oregon (10-2),7,,Pac-10
8,Final,8,Ohio State (10-2),8,,Big Ten
8,Final,9,Georgia Tech (11-2),10,1,ACC (Coastal)
8,Final,10,Iowa (10-2),9,1,Big Ten
8,Final,11,Virginia Tech (9-3),12,1,ACC (Coastal)
8,Final,12,LSU (9-3),13,1,SEC (West)
8,Final,13,Penn State (10-2),11,2,Big Ten
8,Final,14,BYU (10-2),14,,MWC
8,Final,15,Miami (FL) (9-3),17,2,ACC (Coastal)
8,Final,16,West Virginia (9-3),23,7,Big East
8,Final,17,Pitt (9-3),15,2,Big East
8,Final,18,Oregon State (8-4),16,2,Pac-10
8,Final,19,Oklahoma State (9-3),20,1,Big 12 (South)
8,Final,20,Arizona (8-4),,,Pac-10
8,Final,21,Stanford (8-4),24,3,Pac-10
8,Final,22,Nebraska (9-4),22,,Big 12 (North)
8,Final,23,Utah (9-3),25,2,MWC
8,Final,24,USC (8-4),18,6,Pac-10
8,Final,25,Wisconsin (9-3),,,Big Ten
7,2009-11-29,1,Florida (12-0),1,,SEC (East)
7,2009-11-29,2,Alabama (12-0),2,,SEC (West)
7,2009-11-29,3,Texas (12-0),3,,Big 12 (South)
7,2009-11-29,4,Texas Christian (12-0),4,,MWC
7,2009-11-29,5,Cincinnati (11-0),5,,Big East
7,2009-11-29,6,Boise State (12-0),6,,WAC
7,2009-11-29,7,Oregon (9-2),8,1,Pac-10
7,2009-11-29,8,Ohio State (10-2),10,2,Big Ten
7,2009-11-29,9,Iowa (10-2),11,2,Big Ten
7,2009-11-29,10,Georgia Tech (10-2),7,3,ACC (Coastal)
7,2009-11-29,11,Penn State (10-2),13,2,Big Ten
7,2009-11-29,12,Virginia Tech (9-3),14,2,ACC (Coastal)
7,2009-11-29,13,LSU (9-3),15,2,SEC (West)
7,2009-11-29,14,BYU (10-2),19,5,MWC
7,2009-11-29,15,Pitt (9-2),9,6,Big East
7,2009-11-29,16,Oregon State (8-3),16,,Pac-10
7,2009-11-29,17,Miami (FL) (9-3),17,,ACC (Coastal)
7,2009-11-29,18,USC (8-3),20,2,Pac-10
7,2009-11-29,19,California (8-3),22,3,Pac-10
7,2009-11-29,20,Oklahoma State (9-3),12,8,Big 12 (South)
7,2009-11-29,21,Houston (10-2),23,2,CUSA (West)
7,2009-11-29,22,Nebraska (9-3),,,Big 12 (North)
7,2009-11-29,23,West Virginia (8-3),,,Big East
7,2009-11-29,24,Stanford (8-4),,,Pac-10
7,2009-11-29,25,Utah (9-3),21,4,MWC
6,2009-11-22,1,Florida (11-0),1,,SEC (East)
6,2009-11-22,2,Alabama (11-0),2,,SEC (West)
6,2009-11-22,3,Texas (11-0),3,,Big 12 (South)
6,2009-11-22,4,Texas Christian (11-0),4,,MWC
6,2009-11-22,5,Cincinnati (10-0),5,,Big East
6,2009-11-22,6,Boise State (11-0),6,,WAC
6,2009-11-22,7,Georgia Tech (10-1),7,,ACC (Coastal)
6,2009-11-22,8,Oregon (9-2),11,3,Pac-10
6,2009-11-22,9,Pitt (9-1),9,,Big East
6,2009-11-22,10,Ohio State (10-2),10,,Big Ten
6,2009-11-22,11,Iowa (10-2),13,2,Big Ten
6,2009-11-22,12,Oklahoma State (9-2),12,,Big 12 (South)
