Wk,Date,Rk,School,Prev,Chng,Conf
2,2001-10-27,4,Michigan (5-1),7,3,Big Ten
2,2001-10-27,5,Texas (6-1),6,1,Big 12 (South)
2,2001-10-27,6,Stanford (4-1),14,8,Pac-10
2,2001-10-27,7,Tennessee (4-1),9,2,SEC (East)
2,2001-10-27,8,Florida (5-1),11,3,SEC (East)
2,2001-10-27,9,UCLA (6-0),3,6,Pac-10
2,2001-10-27,10,Oregon (6-1),13,3,Pac-10
2,2001-10-27,11,Washington (5-1),12,1,Pac-10
2,2001-10-27,12,Washington State (7-0),10,2,Pac-10
2,2001-10-27,13,BYU (7-0),,,MWC
2,2001-10-27,14,Purdue (4-1),,,Big Ten
2,2001-10-27,15,Virginia Tech (6-0),5,10,Big East
1,2001-10-20,1,Oklahoma (6-0),NA,—,Big 12 (South)
1,2001-10-20,2,Nebraska (7-0),NA,—,Big 12 (North)
1,2001-10-20,3,UCLA (5-0),NA,—,Pac-10
1,2001-10-20,4,Miami (FL) (5-0),NA,—,Big East
1,2001-10-20,5,Virginia Tech (6-0),NA,—,Big East
1,2001-10-20,6,Texas (5-1),NA,—,Big 12 (South)
1,2001-10-20,7,Michigan (5-1),NA,—,Big Ten
1,2001-10-20,8,Maryland (6-0),NA,—,ACC
1,2001-10-20,9,Tennessee (3-1),NA,—,SEC (East)
1,2001-10-20,10,Washington State (7-0),NA,—,Pac-10
1,2001-10-20,11,Florida (5-1),NA,—,SEC (East)
1,2001-10-20,12,Washington (4-1),NA,—,Pac-10
1,2001-10-20,13,Oregon (6-0),NA,—,Pac-10
1,2001-10-20,14,Stanford (3-1),NA,—,Pac-10
1,2001-10-20,15,South Carolina (5-1),NA,—,SEC (East)
