Wk,Date,Rk,School,Prev,Chng,1st,Conf
16,Final,1,Alabama (13-1),2,1,59,SEC (West)
16,Final,2,Oregon (12-1),5,3,,Pac-12 (North)
16,Final,3,Ohio State (12-0),3,,,Big Ten (Leaders)
16,Final,4,Notre Dame (12-1),1,3,,Ind
16,Final,5,Georgia (12-2),6,1,,SEC (East)
16,Final,5,Texas A&M (11-2),10,5,,SEC (West)
16,Final,7,Stanford (12-2),8,1,,Pac-12 (North)
16,Final,8,South Carolina (11-2),11,3,,SEC (East)
16,Final,9,Florida (11-2),4,5,,SEC (East)
16,Final,10,Florida State (12-2),13,3,,ACC (Atlantic)
16,Final,11,Clemson (11-2),14,3,,ACC (Atlantic)
16,Final,12,Kansas State (11-2),7,5,,Big 12
16,Final,13,Louisville (11-2),22,9,,Big East
16,Final,14,LSU (10-3),9,5,,SEC (West)
16,Final,15,Oklahoma (10-3),12,3,,Big 12
16,Final,16,Utah State (11-2),18,2,,WAC
16,Final,17,Northwestern (10-3),21,4,,Big Ten (Legends)
16,Final,18,Boise State (11-2),20,2,,MWC
16,Final,19,Texas (9-4),,,,Big 12
16,Final,20,Oregon State (9-4),15,5,,Pac-12 (North)
16,Final,21,San Jose State (11-2),24,3,,WAC
16,Final,22,Northern Illinois (12-2),16,6,,MAC (West)
16,Final,23,Vanderbilt (9-4),,,,SEC (East)
16,Final,24,Michigan (8-5),19,5,,Big Ten (Legends)
16,Final,25,Nebraska (10-4),23,2,,Big Ten (Legends)
15,2012-12-02,1,Notre Dame (12-0),1,,60,Ind
15,2012-12-02,2,Alabama (12-1),2,,,SEC (West)
15,2012-12-02,3,Ohio State (12-0),4,1,,Big Ten (Leaders)
15,2012-12-02,4,Florida (11-1),5,1,,SEC (East)
15,2012-12-02,5,Oregon (11-1),6,1,,Pac-12 (North)
15,2012-12-02,6,Georgia (11-2),3,3,,SEC (East)
15,2012-12-02,7,Kansas State (11-1),7,,,Big 12
15,2012-12-02,8,Stanford (11-2),8,,,Pac-12 (North)
15,2012-12-02,9,LSU (10-2),9,,,SEC (West)
15,2012-12-02,10,Texas A&M (10-2),10,,,SEC (West)
15,2012-12-02,11,South Carolina (10-2),11,,,SEC (East)
15,2012-12-02,12,Oklahoma (10-2),12,,,Big 12
15,2012-12-02,13,Florida State (11-2),13,,,ACC (Atlantic)
15,2012-12-02,14,Clemson (10-2),15,1,,ACC (Atlantic)
15,2012-12-02,15,Oregon State (9-3),16,1,,Pac-12 (North)
15,2012-12-02,16,Northern Illinois (12-1),19,3,,MAC (West)
15,2012-12-02,17,UCLA (9-4),17,,,Pac-12 (South)
15,2012-12-02,18,Utah State (10-2),20,2,,WAC
