Wk,Date,Rk,School,Prev,Chng,1st,Conf
17,Final,1,Ohio State (14-2),6,5,56,Big Ten
17,Final,2,Notre Dame (14-2),3,1,,Ind
17,Final,3,Oregon (13-1),1,2,,Big Ten
17,Final,4,Texas (13-3),4,,,SEC
17,Final,5,Penn State (13-3),5,,,Big Ten
17,Final,6,Georgia (11-3),2,4,,SEC
17,Final,7,Arizona State (11-3),10,3,,Big 12
17,Final,8,Boise State (12-2),8,,,MWC
17,Final,9,Tennessee (10-3),7,2,,SEC
17,Final,10,Indiana (11-2),9,1,,Big Ten
17,Final,11,Ole Miss (10-3),16,5,,SEC
17,Final,12,SMU (11-3),12,,,ACC
17,Final,13,BYU (11-2),17,4,,Big 12
17,Final,14,Clemson (10-4),13,1,,ACC
17,Final,15,Iowa State (11-3),18,3,,Big 12
17,Final,16,Illinois (10-3),21,5,,Big Ten
17,Final,17,Alabama (9-4),11,6,,SEC
17,Final,18,Miami (FL) (10-3),15,3,,ACC
17,Final,19,South Carolina (9-4),14,5,,SEC
17,Final,20,Syracuse (10-3),22,2,,ACC
17,Final,21,Army (12-2),19,2,,American
17,Final,22,Missouri (10-3),23,1,,SEC
17,Final,23,Nevada-Las Vegas (11-3),24,1,,MWC
17,Final,24,Memphis (11-2),25,1,,American
17,Final,25,Colorado (9-4),20,5,,Big 12
16,2024-12-08,1,Oregon (13-0),1,,62,Big Ten
16,2024-12-08,2,Georgia (11-2),5,3,,SEC
16,2024-12-08,3,Notre Dame (11-1),4,1,,Ind
16,2024-12-08,4,Texas (11-2),2,2,,SEC
16,2024-12-08,5,Penn State (11-2),3,2,,Big Ten
16,2024-12-08,6,Ohio State (10-2),7,1,,Big Ten
16,2024-12-08,7,Tennessee (10-2),6,1,,SEC
16,2024-12-08,8,Boise State (12-1),10,2,,MWC
16,2024-12-08,9,Indiana (11-1),9,,,Big Ten
16,2024-12-08,10,Arizona State (11-2),12,2,,Big 12
16,2024-12-08,11,Alabama (9-3),11,,,SEC
16,2024-12-08,12,SMU (11-2),8,4,,ACC
16,2024-12-08,13,Clemson (10-3),18,5,,ACC
16,2024-12-08,14,South Carolina (9-3),13,1,,SEC
16,2024-12-08,15,Miami (FL) (10-2),14,1,,ACC
16,2024-12-08,16,Ole Miss (9-3),15,1,,SEC
16,2024-12-08,17,BYU (10-2),17,,,Big 12
16,2024-12-08,18,Iowa State (10-3),16,2,,Big 12
16,2024-12-08,19,Army (11-1),24,5,,American
16,2024-12-08,20,Colorado (9-3),20,,,Big 12
16,2024-12-08,21,Illinois (9-3),21,,,Big Ten
16,2024-12-08,22,Syracuse (9-3),23,1,,ACC
16,2024-12-08,23,Missouri (9-3),22,1,,SEC
16,2024-12-08,24,Nevada-Las Vegas (10-3),19,5,,MWC
16,2024-12-08,25,Memphis (10-2),25,,,American
15,2024-12-01,1,Oregon (12-0),1,,62,Big Ten
15,2024-12-01,2,Texas (11-1),3,1,,SEC
15,2024-12-01,3,Penn State (11-1),4,1,,Big Ten
15,2024-12-01,4,Notre Dame (11-1),5,1,,Ind
15,2024-12-01,5,Georgia (10-2),6,1,,SEC
15,2024-12-01,6,Tennessee (10-2),7,1,,SEC
15,2024-12-01,7,Ohio State (10-2),2,5,,Big Ten
15,2024-12-01,8,SMU (11-1),9,1,,ACC
15,2024-12-01,9,Indiana (11-1),10,1,,Big Ten
15,2024-12-01,10,Boise State (11-1),11,1,,MWC
15,2024-12-01,11,Alabama (9-3),13,2,,SEC
15,2024-12-01,12,Arizona State (10-2),14,2,,Big 12
15,2024-12-01,13,South Carolina (9-3),16,3,,SEC
15,2024-12-01,14,Miami (FL) (10-2),8,6,,ACC
15,2024-12-01,15,Ole Miss (9-3),15,,,SEC
15,2024-12-01,16,Iowa State (10-2),17,1,,Big 12
15,2024-12-01,17,BYU (10-2),19,2,,Big 12
15,2024-12-01,18,Clemson (9-3),12,6,,ACC
15,2024-12-01,19,Nevada-Las Vegas (10-2),21,2,,MWC
15,2024-12-01,20,Colorado (9-3),23,3,,Big 12
15,2024-12-01,21,Illinois (9-3),22,1,,Big Ten
15,2024-12-01,22,Missouri (9-3),24,2,,SEC
15,2024-12-01,23,Syracuse (9-3),,,,ACC
15,2024-12-01,24,Army (10-1),25,1,,American
15,2024-12-01,25,Memphis (10-2),,,,American
14,2024-11-24,1,Oregon (11-0),1,,61,Big Ten
14,2024-11-24,2,Ohio State (10-1),2,,,Big Ten
14,2024-11-24,3,Texas (10-1),3,,,SEC
14,2024-11-24,4,Penn State (10-1),4,,,Big Ten
14,2024-11-24,5,Notre Dame (10-1),6,1,,Ind
14,2024-11-24,6,Georgia (9-2),8,2,,SEC
14,2024-11-24,7,Tennessee (9-2),10,3,,SEC
14,2024-11-24,8,Miami (FL) (10-1),11,3,,ACC
14,2024-11-24,9,SMU (10-1),13,4,,ACC
14,2024-11-24,10,Indiana (10-1),5,5,,Big Ten
14,2024-11-24,11,Boise State (10-1),12,1,,MWC
14,2024-11-24,12,Clemson (9-2),17,5,,ACC
14,2024-11-24,13,Alabama (8-3),7,6,,SEC
14,2024-11-24,14,Arizona State (9-2),21,7,,Big 12
14,2024-11-24,15,Ole Miss (8-3),9,6,,SEC
14,2024-11-24,16,South Carolina (8-3),19,3,,SEC
14,2024-11-24,17,Iowa State (9-2),22,5,,Big 12
14,2024-11-24,18,Tulane (9-2),20,2,,American
14,2024-11-24,19,BYU (9-2),14,5,,Big 12
14,2024-11-24,20,Texas A&M (8-3),15,5,,SEC
14,2024-11-24,21,Nevada-Las Vegas (9-2),23,2,,MWC
14,2024-11-24,22,Illinois (8-3),24,2,,Big Ten
14,2024-11-24,23,Colorado (8-3),16,7,,Big 12
14,2024-11-24,24,Missouri (8-3),,,,SEC
14,2024-11-24,25,Army (9-1),18,7,,American
13,2024-11-17,1,Oregon (11-0),1,,62,Big Ten
13,2024-11-17,2,Ohio State (9-1),2,,,Big Ten
13,2024-11-17,3,Texas (9-1),3,,,SEC
13,2024-11-17,4,Penn State (9-1),4,,,Big Ten
13,2024-11-17,5,Indiana (10-0),5,,,Big Ten
13,2024-11-17,6,Notre Dame (9-1),8,2,,Ind
13,2024-11-17,7,Alabama (8-2),9,2,,SEC
13,2024-11-17,8,Georgia (8-2),11,3,,SEC
13,2024-11-17,9,Ole Miss (8-2),10,1,,SEC
13,2024-11-17,10,Tennessee (8-2),6,4,,SEC
13,2024-11-17,11,Miami (FL) (9-1),12,1,,ACC
13,2024-11-17,12,Boise State (9-1),13,1,,MWC
13,2024-11-17,13,SMU (9-1),14,1,,ACC
13,2024-11-17,14,BYU (9-1),7,7,,Big 12
13,2024-11-17,15,Texas A&M (8-2),15,,,SEC
13,2024-11-17,16,Colorado (8-2),18,2,,Big 12
13,2024-11-17,17,Clemson (8-2),17,,,ACC
13,2024-11-17,18,Army (9-0),16,2,,American
13,2024-11-17,19,South Carolina (7-3),23,4,,SEC
13,2024-11-17,20,Tulane (9-2),25,5,,American
13,2024-11-17,21,Arizona State (8-2),,,,Big 12
13,2024-11-17,22,Iowa State (8-2),,,,Big 12
13,2024-11-17,23,Nevada-Las Vegas (8-2),,,,MWC
13,2024-11-17,24,Illinois (7-3),,,,Big Ten
13,2024-11-17,25,Washington State (8-2),19,6,,Ind
12,2024-11-10,1,Oregon (10-0),1,,62,Big Ten
12,2024-11-10,2,Ohio State (8-1),3,1,,Big Ten
12,2024-11-10,3,Texas (8-1),5,2,,SEC
12,2024-11-10,4,Penn State (8-1),6,2,,Big Ten
12,2024-11-10,5,Indiana (10-0),8,3,,Big Ten
12,2024-11-10,6,Tennessee (8-1),7,1,,SEC
12,2024-11-10,7,BYU (9-0),9,2,,Big 12
12,2024-11-10,8,Notre Dame (8-1),10,2,,Ind
12,2024-11-10,9,Alabama (7-2),11,2,,SEC
12,2024-11-10,10,Ole Miss (8-2),16,6,,SEC
12,2024-11-10,11,Georgia (7-2),2,9,,SEC
12,2024-11-10,12,Miami (FL) (9-1),4,8,,ACC
12,2024-11-10,13,Boise State (8-1),12,1,,MWC
12,2024-11-10,14,SMU (8-1),13,1,,ACC
12,2024-11-10,15,Texas A&M (7-2),15,,,SEC
12,2024-11-10,16,Army (9-0),18,2,,American
12,2024-11-10,17,Clemson (7-2),19,2,,ACC
12,2024-11-10,18,Colorado (7-2),21,3,,Big 12
12,2024-11-10,19,Washington State (8-1),20,1,,Ind
12,2024-11-10,20,Kansas State (7-2),22,2,,Big 12
12,2024-11-10,21,LSU (6-3),14,7,,SEC
12,2024-11-10,22,Louisville (6-3),25,3,,ACC
12,2024-11-10,23,South Carolina (6-3),,,,SEC
12,2024-11-10,24,Missouri (7-2),,,,SEC
12,2024-11-10,25,Tulane (8-2),,,,American
11,2024-11-03,1,Oregon (9-0),1,,62,Big Ten
11,2024-11-03,2,Georgia (7-1),2,,,SEC
11,2024-11-03,3,Ohio State (7-1),4,1,,Big Ten
11,2024-11-03,4,Miami (FL) (9-0),5,1,,ACC
11,2024-11-03,5,Texas (7-1),6,1,,SEC
