Wk,Date,Rk,School,Prev,Chng,1st,Conf
17,Final,1,Indiana (16-0),1,,66,Big Ten
17,Final,2,Miami (FL) (13-3),10,8,,ACC
17,Final,3,Ole Miss (13-2),6,3,,SEC
17,Final,4,Oregon (13-2),5,1,,Big Ten
17,Final,5,Ohio State (12-2),3,2,,Big Ten
17,Final,6,Georgia (12-2),2,4,,SEC
17,Final,7,Texas Tech (12-2),4,3,,Big 12
17,Final,8,Texas A&M (11-2),7,1,,SEC
17,Final,9,Alabama (11-4),11,2,,SEC
17,Final,10,Notre Dame (10-2),9,1,,Ind
17,Final,11,BYU (12-2),12,1,,Big 12
17,Final,12,Texas (10-3),14,2,,SEC
17,Final,13,Oklahoma (10-3),8,5,,SEC
17,Final,14,Utah (11-2),15,1,,Big 12
17,Final,15,Vanderbilt (10-3),13,2,,SEC
17,Final,16,Virginia (11-3),20,4,,ACC
17,Final,17,Iowa (9-4),,,,Big Ten
17,Final,18,Tulane (11-3),17,1,,American
17,Final,19,James Madison (12-2),19,,,Sun Belt (East)
17,Final,20,USC (9-4),16,4,,Big Ten
17,Final,21,Michigan (9-4),18,3,,Big Ten
17,Final,22,Houston (10-3),,,,Big 12
17,Final,23,Navy (11-2),22,1,,American
17,Final,24,North Texas (12-2),23,1,,American
17,Final,25,Texas Christian (9-4),,,,Big 12
16,2025-12-07,1,Indiana (13-0),2,1,66,Big Ten
16,2025-12-07,2,Georgia (12-1),3,1,,SEC
16,2025-12-07,3,Ohio State (12-1),1,2,,Big Ten
16,2025-12-07,4,Texas Tech (12-1),5,1,,Big 12
16,2025-12-07,5,Oregon (11-1),4,1,,Big Ten
16,2025-12-07,6,Ole Miss (11-1),6,,,SEC
16,2025-12-07,7,Texas A&M (11-1),7,,,SEC
16,2025-12-07,8,Oklahoma (10-2),8,,,SEC
16,2025-12-07,9,Notre Dame (10-2),9,,,Ind
16,2025-12-07,10,Miami (FL) (10-2),12,2,,ACC
16,2025-12-07,11,Alabama (10-3),10,1,,SEC
16,2025-12-07,12,BYU (11-2),11,1,,Big 12
16,2025-12-07,13,Vanderbilt (10-2),13,,,SEC
16,2025-12-07,14,Texas (9-3),14,,,SEC
16,2025-12-07,15,Utah (10-2),15,,,Big 12
16,2025-12-07,16,USC (9-3),17,1,,Big Ten
16,2025-12-07,17,Tulane (11-2),21,4,,American
16,2025-12-07,18,Michigan (9-3),18,,,Big Ten
16,2025-12-07,19,James Madison (12-1),19,,,Sun Belt (East)
16,2025-12-07,20,Virginia (10-3),16,4,,ACC
16,2025-12-07,21,Arizona (9-3),22,1,,Big 12
16,2025-12-07,22,Navy (9-2),23,1,,American
16,2025-12-07,23,North Texas (11-2),20,3,,American
16,2025-12-07,24,Georgia Tech (9-3),24,,,ACC
16,2025-12-07,25,Missouri (8-4),25,,,SEC
15,2025-11-30,1,Ohio State (12-0),1,,61,Big Ten
15,2025-11-30,2,Indiana (12-0),2,,5,Big Ten
15,2025-11-30,3,Georgia (11-1),4,1,,SEC
15,2025-11-30,4,Oregon (11-1),5,1,,Big Ten
15,2025-11-30,5,Texas Tech (11-1),7,2,,Big 12
15,2025-11-30,6,Ole Miss (11-1),6,,,SEC
15,2025-11-30,7,Texas A&M (11-1),3,4,,SEC
15,2025-11-30,8,Oklahoma (10-2),8,,,SEC
15,2025-11-30,9,Notre Dame (10-2),9,,,Ind
15,2025-11-30,10,Alabama (10-2),10,,,SEC
15,2025-11-30,11,BYU (11-1),11,,,Big 12
15,2025-11-30,12,Miami (FL) (10-2),13,1,,ACC
15,2025-11-30,13,Vanderbilt (10-2),12,1,,SEC
15,2025-11-30,14,Texas (9-3),16,2,,SEC
15,2025-11-30,15,Utah (10-2),14,1,,Big 12
15,2025-11-30,16,Virginia (10-2),17,1,,ACC
15,2025-11-30,17,USC (9-3),19,2,,Big Ten
15,2025-11-30,18,Michigan (9-3),15,3,,Big Ten
15,2025-11-30,19,James Madison (11-1),20,1,,Sun Belt (East)
15,2025-11-30,20,North Texas (11-1),21,1,,American
15,2025-11-30,21,Tulane (10-2),22,1,,American
15,2025-11-30,22,Arizona (9-3),,,,Big 12
15,2025-11-30,23,Navy (9-2),,,,American
15,2025-11-30,24,Georgia Tech (9-3),23,1,,ACC
15,2025-11-30,25,Missouri (8-4),,,,SEC
