Wk,Date,Rk,School,Prev,Chng,1st,Conf
17,Final,1,LSU (15-0),1,,62,SEC (West)
17,Final,2,Clemson (14-1),3,1,,ACC (Atlantic)
17,Final,3,Ohio State (13-1),2,1,,Big Ten (East)
17,Final,4,Georgia (12-2),5,1,,SEC (East)
17,Final,5,Oregon (12-2),7,2,,Pac-12 (North)
17,Final,6,Florida (11-2),6,,,SEC (East)
17,Final,7,Oklahoma (12-2),4,3,,Big 12
17,Final,8,Alabama (11-2),9,1,,SEC (West)
17,Final,9,Penn State (11-2),13,4,,Big Ten (East)
17,Final,10,Minnesota (11-2),16,6,,Big Ten (West)
17,Final,11,Wisconsin (10-4),11,,,Big Ten (West)
17,Final,12,Notre Dame (11-2),14,2,,Ind
17,Final,13,Baylor (11-3),8,5,,Big 12
17,Final,14,Auburn (9-4),9,5,,SEC (West)
17,Final,15,Iowa (10-3),19,4,,Big Ten (West)
17,Final,16,Utah (11-3),12,4,,Pac-12 (South)
17,Final,17,Memphis (12-2),15,2,,American (West)
17,Final,18,Michigan (9-4),17,1,,Big Ten (East)
17,Final,19,Appalachian State (13-1),20,1,,Sun Belt (East)
17,Final,20,Navy (11-2),21,1,,American (West)
17,Final,21,Cincinnati (11-3),23,2,,American (East)
17,Final,22,Air Force (11-2),24,2,,MWC (Mountain)
17,Final,23,Boise State (12-2),18,5,,MWC (Mountain)
17,Final,24,UCF (10-3),,,,American (East)
17,Final,25,Texas (8-5),,,,Big 12
16,2019-12-08,1,LSU (13-0),1,,47,SEC (West)
16,2019-12-08,2,Ohio State (13-0),2,,,Big Ten (East)
16,2019-12-08,3,Clemson (13-0),3,,,ACC (Atlantic)
16,2019-12-08,4,Oklahoma (12-1),6,2,,Big 12
16,2019-12-08,5,Georgia (11-2),4,1,,SEC (East)
16,2019-12-08,6,Florida (10-2),7,1,,SEC (East)
16,2019-12-08,7,Oregon (11-2),13,6,,Pac-12 (North)
16,2019-12-08,8,Baylor (11-2),8,,,Big 12
16,2019-12-08,9,Alabama (10-2),9,,,SEC (West)
16,2019-12-08,9,Auburn (9-3),11,2,,SEC (West)
16,2019-12-08,11,Wisconsin (10-3),10,1,,Big Ten (West)
16,2019-12-08,12,Utah (11-2),5,7,,Pac-12 (South)
16,2019-12-08,13,Penn State (10-2),12,1,,Big Ten (East)
16,2019-12-08,14,Notre Dame (10-2),14,,,Ind
16,2019-12-08,15,Memphis (12-1),16,1,,American (West)
16,2019-12-08,16,Minnesota (10-2),15,1,,Big Ten (West)
16,2019-12-08,17,Michigan (9-3),17,,,Big Ten (East)
16,2019-12-08,18,Boise State (12-1),19,1,,MWC (Mountain)
16,2019-12-08,19,Iowa (9-3),18,1,,Big Ten (West)
16,2019-12-08,20,Appalachian State (12-1),20,,,Sun Belt (East)
16,2019-12-08,21,Navy (9-2),23,2,,American (West)
16,2019-12-08,22,USC (8-4),24,2,,Pac-12 (South)
16,2019-12-08,23,Cincinnati (10-3),21,2,,American (East)
16,2019-12-08,24,Air Force (10-2),25,1,,MWC (Mountain)
16,2019-12-08,25,Oklahoma State (8-4),,,,Big 12
15,2019-12-01,1,LSU (12-0),1,,40,SEC (West)
15,2019-12-01,2,Ohio State (12-0),2,,19,Big Ten (East)
15,2019-12-01,3,Clemson (12-0),3,,3,ACC (Atlantic)
15,2019-12-01,4,Georgia (11-1),4,,,SEC (East)
15,2019-12-01,5,Utah (11-1),6,1,,Pac-12 (South)
15,2019-12-01,6,Oklahoma (11-1),7,1,,Big 12
15,2019-12-01,7,Florida (10-2),8,1,,SEC (East)
15,2019-12-01,8,Baylor (11-1),11,3,,Big 12
15,2019-12-01,9,Alabama (10-2),5,4,,SEC (West)
15,2019-12-01,10,Wisconsin (10-2),13,3,,Big Ten (West)
15,2019-12-01,11,Auburn (9-3),16,5,,SEC (West)
15,2019-12-01,12,Penn State (10-2),12,,,Big Ten (East)
15,2019-12-01,13,Oregon (10-2),14,1,,Pac-12 (North)
15,2019-12-01,14,Notre Dame (10-2),15,1,,Ind
15,2019-12-01,15,Minnesota (10-2),9,6,,Big Ten (West)
15,2019-12-01,16,Memphis (11-1),17,1,,American (West)
15,2019-12-01,17,Michigan (9-3),10,7,,Big Ten (East)
15,2019-12-01,18,Iowa (9-3),19,1,,Big Ten (West)
15,2019-12-01,19,Boise State (11-1),20,1,,MWC (Mountain)
15,2019-12-01,20,Appalachian State (11-1),22,2,,Sun Belt (East)
15,2019-12-01,21,Cincinnati (10-2),18,3,,American (East)
15,2019-12-01,22,Virginia (9-3),,,,ACC (Coastal)
15,2019-12-01,23,Navy (9-2),24,1,,American (West)
15,2019-12-01,24,USC (8-4),25,1,,Pac-12 (South)
15,2019-12-01,25,Air Force (10-2),,,,MWC (Mountain)
14,2019-11-24,1,LSU (11-0),1,,50,SEC (West)
14,2019-11-24,2,Ohio State (11-0),2,,9,Big Ten (East)
14,2019-11-24,3,Clemson (11-0),3,,3,ACC (Atlantic)
14,2019-11-24,4,Georgia (10-1),4,,,SEC (East)
14,2019-11-24,5,Alabama (10-1),5,,,SEC (West)
14,2019-11-24,6,Utah (10-1),7,1,,Pac-12 (South)
14,2019-11-24,7,Oklahoma (10-1),8,1,,Big 12
14,2019-11-24,8,Florida (9-2),10,2,,SEC (East)
14,2019-11-24,9,Minnesota (10-1),11,2,,Big Ten (West)
14,2019-11-24,10,Michigan (9-2),12,2,,Big Ten (East)
14,2019-11-24,11,Baylor (10-1),13,2,,Big 12
14,2019-11-24,12,Penn State (9-2),9,3,,Big Ten (East)
14,2019-11-24,13,Wisconsin (9-2),14,1,,Big Ten (West)
14,2019-11-24,14,Oregon (9-2),6,8,,Pac-12 (North)
14,2019-11-24,15,Notre Dame (9-2),15,,,Ind
14,2019-11-24,16,Auburn (8-3),16,,,SEC (West)
14,2019-11-24,17,Memphis (10-1),18,1,,American (West)
14,2019-11-24,18,Cincinnati (10-1),17,1,,American (East)
14,2019-11-24,19,Iowa (8-3),19,,,Big Ten (West)
14,2019-11-24,20,Boise State (10-1),20,,,MWC (Mountain)
14,2019-11-24,21,Oklahoma State (8-3),22,1,,Big 12
14,2019-11-24,22,Appalachian State (10-1),23,1,,Sun Belt (East)
14,2019-11-24,23,Virginia Tech (8-3),25,2,,ACC (Coastal)
14,2019-11-24,24,Navy (8-2),,,,American (West)
14,2019-11-24,25,USC (8-4),,,,Pac-12 (South)
13,2019-11-17,1,LSU (10-0),1,,54,SEC (West)
13,2019-11-17,2,Ohio State (10-0),2,,5,Big Ten (East)
13,2019-11-17,3,Clemson (11-0),3,,3,ACC (Atlantic)
13,2019-11-17,4,Georgia (9-1),5,1,,SEC (East)
13,2019-11-17,5,Alabama (9-1),4,1,,SEC (West)
13,2019-11-17,6,Oregon (9-1),6,,,Pac-12 (North)
13,2019-11-17,7,Utah (9-1),8,1,,Pac-12 (South)
13,2019-11-17,8,Oklahoma (9-1),10,2,,Big 12
13,2019-11-17,9,Penn State (9-1),9,,,Big Ten (East)
13,2019-11-17,10,Florida (9-2),11,1,,SEC (East)
13,2019-11-17,11,Minnesota (9-1),7,4,,Big Ten (West)
13,2019-11-17,12,Michigan (8-2),14,2,,Big Ten (East)
13,2019-11-17,13,Baylor (9-1),12,1,,Big 12
13,2019-11-17,14,Wisconsin (8-2),15,1,,Big Ten (West)
13,2019-11-17,15,Notre Dame (8-2),16,1,,Ind
13,2019-11-17,16,Auburn (7-3),13,3,,SEC (West)
13,2019-11-17,17,Cincinnati (9-1),17,,,American (East)
13,2019-11-17,18,Memphis (9-1),18,,,American (West)
13,2019-11-17,19,Iowa (7-3),23,4,,Big Ten (West)
13,2019-11-17,20,Boise State (9-1),19,1,,MWC (Mountain)
13,2019-11-17,21,SMU (9-1),20,1,,American (West)
13,2019-11-17,22,Oklahoma State (7-3),25,3,,Big 12
13,2019-11-17,23,Appalachian State (9-1),,,,Sun Belt (East)
13,2019-11-17,24,Texas A&M (7-3),,,,SEC (West)
13,2019-11-17,25,Virginia Tech (7-3),,,,ACC (Coastal)
12,2019-11-10,1,LSU (9-0),1,,54,SEC (West)
12,2019-11-10,2,Ohio State (9-0),3,1,5,Big Ten (East)
12,2019-11-10,3,Clemson (10-0),4,1,3,ACC (Atlantic)
12,2019-11-10,4,Alabama (8-1),2,2,,SEC (West)
12,2019-11-10,5,Georgia (8-1),6,1,,SEC (East)
12,2019-11-10,6,Oregon (8-1),7,1,,Pac-12 (North)
12,2019-11-10,7,Minnesota (9-0),13,6,,Big Ten (West)
12,2019-11-10,8,Utah (8-1),8,,,Pac-12 (South)
12,2019-11-10,9,Penn State (8-1),5,4,,Big Ten (East)
12,2019-11-10,10,Oklahoma (8-1),9,1,,Big 12
12,2019-11-10,11,Florida (8-2),10,1,,SEC (East)
12,2019-11-10,12,Baylor (9-0),11,1,,Big 12
12,2019-11-10,13,Auburn (7-2),12,1,,SEC (West)
12,2019-11-10,14,Michigan (7-2),14,,,Big Ten (East)
12,2019-11-10,15,Wisconsin (7-2),16,1,,Big Ten (West)
12,2019-11-10,16,Notre Dame (7-2),15,1,,Ind
12,2019-11-10,17,Cincinnati (8-1),17,,,American (East)
12,2019-11-10,18,Memphis (8-1),19,1,,American (West)
12,2019-11-10,19,Boise State (8-1),21,2,,MWC (Mountain)
12,2019-11-10,20,SMU (9-1),23,3,,American (West)
12,2019-11-10,21,Navy (7-1),25,4,,American (West)
12,2019-11-10,22,Texas (6-3),,,,Big 12
12,2019-11-10,23,Iowa (6-3),18,5,,Big Ten (West)
12,2019-11-10,24,Indiana (7-2),,,,Big Ten (East)
12,2019-11-10,25,Oklahoma State (6-3),,,,Big 12
11,2019-11-03,1,LSU (8-0),1,,17,SEC (West)
11,2019-11-03,2,Alabama (8-0),2,,21,SEC (West)
11,2019-11-03,3,Ohio State (8-0),3,,17,Big Ten (East)
11,2019-11-03,4,Clemson (9-0),4,,7,ACC (Atlantic)
11,2019-11-03,5,Penn State (8-0),5,,,Big Ten (East)
11,2019-11-03,6,Georgia (7-1),8,2,,SEC (East)
11,2019-11-03,7,Oregon (8-1),7,,,Pac-12 (North)
11,2019-11-03,8,Utah (8-1),9,1,,Pac-12 (South)
11,2019-11-03,9,Oklahoma (7-1),10,1,,Big 12
11,2019-11-03,10,Florida (7-2),6,4,,SEC (East)
11,2019-11-03,11,Baylor (8-0),12,1,,Big 12
11,2019-11-03,12,Auburn (7-2),11,1,,SEC (West)
11,2019-11-03,13,Minnesota (8-0),13,,,Big Ten (West)
11,2019-11-03,14,Michigan (7-2),14,,,Big Ten (East)
11,2019-11-03,15,Notre Dame (6-2),16,1,,Ind
11,2019-11-03,16,Wisconsin (6-2),18,2,,Big Ten (West)
11,2019-11-03,17,Cincinnati (7-1),17,,,American (East)
